gamma,target_seed,method,initial_validation_fidelity,final_validation_fidelity,best_validation_fidelity,best_iteration,final_noiseless_fidelity,train_trajectories,validation_trajectories
0.001,127,independent,0.0847759446912575,0.7573499727696276,0.7573499727696276,80,0.8878326983067778,16,32
0.001,127,cross,0.08486167901389106,0.7484419747601457,0.7484419747601457,80,0.8882064812833542,4,12
0.012,127,independent,0.05819989605550193,0.17160452202857085,0.17182977005330713,78,0.6133863520734387,16,32
0.012,127,cross,0.04751552394499767,0.15792033315687456,0.15830784527473452,79,0.6093035289480744,4,12
0.023000000000000003,127,independent,0.05582266746350503,0.09743632810473823,0.09743632810473823,80,0.4112637263250244,16,32
0.023000000000000003,127,cross,0.06783784190068516,0.10397339094319173,0.10397339094319173,80,0.47015549949275187,4,12
0.034,127,independent,0.06148803631516779,0.07327556486691694,0.07327556486691694,80,0.20031009666132582,16,32
0.034,127,cross,0.06883566522684004,0.08112373856659455,0.08112373856659455,80,0.23282102268121713,4,12
0.045000000000000005,127,independent,0.0733188269734756,0.07535018490120088,0.07556970149796308,79,0.11726223508363731,16,32
0.045000000000000005,127,cross,0.09049709594836701,0.10153534324481167,0.10185565723151462,78,0.1777710161920016,4,12
0.05600000000000001,127,independent,0.0636824763503978,0.065948048239731,0.06606351697909615,76,0.12450766458018125,16,32
0.05600000000000001,127,cross,0.07748445935684617,0.07487323391558083,0.07866788909473853,15,0.13093737610135828,4,12
0.067,127,independent,0.05366420599469113,0.0524582621381337,0.05388969768280821,4,0.1056177584202914,16,32
0.067,127,cross,0.06520272599120959,0.06131020732332759,0.0665682543218306,16,0.1255437439034345,4,12
0.07800000000000001,127,independent,0.059106338410678166,0.06022878490009452,0.06120465886929856,48,0.08469336332863629,16,32
0.07800000000000001,127,cross,0.04307268054081793,0.041285127856656424,0.04337853769382016,44,0.1084043987077992,4,12
0.08900000000000001,127,independent,0.06949239642664765,0.07305044507841668,0.0732376412466958,79,0.09232359213108857,16,32
0.08900000000000001,127,cross,0.053890310658432534,0.05906595828714397,0.059743697939075496,79,0.11963468093046735,4,12
0.1,127,independent,0.0734252589992401,0.07388214932479682,0.0751047572970507,51,0.09589041891362719,16,32
0.1,127,cross,0.07953401873269629,0.08352414319661283,0.08405365441628476,68,0.1093293754419784,4,12
