family,n_qubits,depth,seed,angle_regime,method,chi_max,tdvp_sweeps,svd_threshold,lanczos_tol,reference_type,reference_available,reference_chi,reference_sweeps,wall_time_s,peak_bond_dim,mean_bond_dim,final_max_bond_dim,num_truncations,hit_chi_max,norm_error_or_norm_drift,fidelity_to_reference,infidelity_to_reference,fidelity_direct,fidelity_bit_reversed,observable_error_direct,observable_error_bit_reversed,reference_convention_used,mean_abs_observable_error,max_abs_observable_error,rms_observable_error,energy_error,status,error_message,case_id,num_swaps_inserted,tdvp_lr_count,enriched_lr_count,total_gates,nn_gate_count,lr_gate_count,tebd_direct_gate_count,tebd_swap_gate_count,tdvp_lr_gate_count,skipped_or_exact_lr_gate_count,lr_gate_pairs,mean_abs_error_z_single,max_abs_error_z_single,mean_abs_error_x_single,max_abs_error_x_single,mean_abs_error_y_single,max_abs_error_y_single,mean_abs_error_zz_nn,max_abs_error_zz_nn,mean_abs_error_zz_lr,max_abs_error_zz_lr,fidelity_observable_consistency_warning,tdvp_padding_dim,tdvp_padding_noise,padding_applied,padded_bonds_count,max_bond_dim_before_padding,max_bond_dim_after_padding,mean_bond_dim_after_padding,peak_bond_dim_before_first_lr,peak_bond_dim_after_first_lr,sweep_scan_enabled
nn_brickwork,8,12,0,small,tdvp_all,64,1,1e-10,1e-08,exact_statevector,True,,,0.5211478999699466,15,6.0,14,0,False,,0.9999988657119699,1.134288030057995e-06,0.9999988657119699,0.9581523043900861,7.508335174274267e-05,0.07959960132347227,direct,9.34209933010131e-06,7.508335174274267e-05,1.8787159156883028e-05,,ok,,nn_brickwork_n8_d12_s0_small,0,84,0,84,84,0,0,0,84,0,[],5.888193578551526e-15,1.3331349912881763e-14,1.942655483902489e-05,4.175601049061228e-05,7.005762072895272e-15,1.1090954543657716e-14,2.7283941791581942e-05,7.508335174274267e-05,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,12,0,medium,tebd_nn,16,1,1e-10,1e-08,exact_statevector,True,,,0.13209179998375475,16,6.285714285714286,16,0,True,,1.0,0.0,1.0,0.6626835672267996,5.88418203051333e-15,0.22530685496524616,direct,2.0586706942335043e-15,5.88418203051333e-15,2.5436951215087836e-15,,ok,,nn_brickwork_n8_d12_s0_medium,0,0,0,84,84,0,84,0,0,0,[],4.2587461335230614e-16,1.124100812432971e-15,5.384581669432009e-15,5.88418203051333e-15,1.3552527156068805e-15,2.8657631823136853e-15,1.7723917571694462e-15,3.2751579226442118e-15,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,12,0,medium,tdvp_all,16,1,1e-10,1e-08,exact_statevector,True,,,0.7666951999999583,16,6.285714285714286,16,0,True,,0.9795051055505862,0.02049489444941377,0.9795051055505862,0.6497929897457363,0.031654449041645105,0.22639783788586076,direct,0.004665924917416019,0.031654449041645105,0.007947358383479035,,ok,,nn_brickwork_n8_d12_s0_medium,0,84,0,84,84,0,0,0,84,0,[],3.7582784107037526e-15,1.2406742300186124e-14,0.009276132086945665,0.014479605091702097,2.7863995832877464e-15,6.099287741534454e-15,0.0140534925001251,0.031654449041645105,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,12,0,medium,tebd_nn,32,1,1e-10,1e-08,exact_statevector,True,,,0.03735309996409342,16,6.285714285714286,16,0,False,,1.0,0.0,1.0,0.6626835672267996,5.88418203051333e-15,0.22530685496524616,direct,2.0586706942335043e-15,5.88418203051333e-15,2.5436951215087836e-15,,ok,,nn_brickwork_n8_d12_s0_medium,0,0,0,84,84,0,84,0,0,0,[],4.2587461335230614e-16,1.124100812432971e-15,5.384581669432009e-15,5.88418203051333e-15,1.3552527156068805e-15,2.8657631823136853e-15,1.7723917571694462e-15,3.2751579226442118e-15,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,12,0,medium,tdvp_all,32,1,1e-10,1e-08,exact_statevector,True,,,0.5695255000027828,16,6.285714285714286,16,0,False,,0.9795051055505862,0.02049489444941377,0.9795051055505862,0.6497929897457363,0.031654449041645105,0.22639783788586076,direct,0.004665924917416019,0.031654449041645105,0.007947358383479035,,ok,,nn_brickwork_n8_d12_s0_medium,0,84,0,84,84,0,0,0,84,0,[],3.7582784107037526e-15,1.2406742300186124e-14,0.009276132086945665,0.014479605091702097,2.7863995832877464e-15,6.099287741534454e-15,0.0140534925001251,0.031654449041645105,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,12,0,medium,tebd_nn,64,1,1e-10,1e-08,exact_statevector,True,,,0.05341910000424832,16,6.285714285714286,16,0,False,,1.0,0.0,1.0,0.6626835672267996,5.88418203051333e-15,0.22530685496524616,direct,2.0586706942335043e-15,5.88418203051333e-15,2.5436951215087836e-15,,ok,,nn_brickwork_n8_d12_s0_medium,0,0,0,84,84,0,84,0,0,0,[],4.2587461335230614e-16,1.124100812432971e-15,5.384581669432009e-15,5.88418203051333e-15,1.3552527156068805e-15,2.8657631823136853e-15,1.7723917571694462e-15,3.2751579226442118e-15,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,12,0,medium,tdvp_all,64,1,1e-10,1e-08,exact_statevector,True,,,0.6005774000077508,16,6.285714285714286,16,0,False,,0.9795051055505862,0.02049489444941377,0.9795051055505862,0.6497929897457363,0.031654449041645105,0.22639783788586076,direct,0.004665924917416019,0.031654449041645105,0.007947358383479035,,ok,,nn_brickwork_n8_d12_s0_medium,0,84,0,84,84,0,0,0,84,0,[],3.7582784107037526e-15,1.2406742300186124e-14,0.009276132086945665,0.014479605091702097,2.7863995832877464e-15,6.099287741534454e-15,0.0140534925001251,0.031654449041645105,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,12,1,small,tebd_nn,16,1,1e-10,1e-08,exact_statevector,True,,,0.04946660000132397,16,6.285714285714286,16,0,True,,0.9999999999242484,7.575162719319906e-11,0.9999999999242484,0.9954810580322924,3.523953701194474e-06,0.0722639697732811,direct,1.3779244648118052e-07,3.523953701194474e-06,5.514304868159481e-07,,ok,,nn_brickwork_n8_d12_s1_small,0,0,0,84,84,0,84,0,0,0,[],1.9042384856449157e-15,6.571132527000145e-15,1.3972109802473653e-07,2.945347287175437e-07,1.4253463860580684e-15,2.965943463051346e-15,5.492411296262347e-07,3.523953701194474e-06,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,12,1,small,tdvp_all,16,1,1e-10,1e-08,exact_statevector,True,,,0.6091374999959953,16,6.285714285714286,16,0,True,,0.9999992926136642,7.073863358408872e-07,0.9999992926136642,0.9954845347689376,0.00022378600426231632,0.0722828508726746,direct,1.0960152522112602e-05,0.00022378600426231632,3.555758437794033e-05,,ok,,nn_brickwork_n8_d12_s1_small,0,84,0,84,84,0,0,0,84,0,[],6.421024736219527e-15,1.1747547379314938e-14,1.1050418572688958e-05,2.1924705645215425e-05,3.90545885561866e-15,6.3180797399420285e-15,4.375034402364211e-05,0.00022378600426231632,0.0,0.0,,,0.0,False,0,,,,,,False
nn_brickwork,8,12,1,small,tebd_nn,32,1,1e-10,1e-08,exact_statevector,True,,,0.04500529996585101,16,6.285714285714286,16,0,False,,0.9999999999242484,7.575162719319906e-11,0.9999999999242484,0.9954810580322924,3.523953701194474e-06,0.0722639697732811,direct,1.3779244648118052e-07,3.523953701194474e-06,5.514304868159481e-07,,ok,,nn_brickwork_n8_d12_s1_small,0,0,0,84,84,0,84,0,0,0,[],1.9042384856449157e-15,6.571132527000145e-15,1.3972109802473653e-07,2.945347287175437e-07,1.4253463860580684e-15,2.965943463051346e-15,5.492411296262347e-07,3.523953701194474e-06,0.0,0.0,,,0.0,False,0,,,,,,False
