chi_max,n,n2,trotter_step,time,I_n,I_2n,D_n
32,1,2,11,1.1,0.003438081473176813,0.0031282808332128154,0.0003098006399639974
32,1,2,12,1.2000000000000002,0.006826257627431276,0.005509080189767146,0.0013171774376641299
32,1,2,13,1.3,0.013015151948579162,0.009960520993320343,0.003054630955258819
32,1,2,14,1.4000000000000001,0.022429341760990207,0.017541857225563673,0.004887484535426534
32,1,2,15,1.5,0.03442398050940465,0.028239160579096256,0.006184819930308394
32,2,4,0,0.0,0.0,0.0,0.0
32,2,4,1,0.1,1.9508317847360956e-05,1.945588512552998e-05,5.2432721830975026e-08
32,2,4,2,0.2,0.00029515997652418413,0.00029145955080966957,3.700425714514566e-06
32,2,4,3,0.30000000000000004,0.0004473696893835255,0.00042952074264324125,1.7848946740284255e-05
32,2,4,4,0.4,0.0004473413520684755,0.00043006656660793396,1.727478546054151e-05
32,2,4,5,0.5,0.0004482857140279961,0.0004293383336616552,1.8947380366340916e-05
32,2,4,6,0.6000000000000001,0.00047731575899900847,0.00045549396125665886,2.1821797742349602e-05
32,2,4,7,0.7000000000000001,0.0005540519417804868,0.0005395491758816151,1.4502765898871672e-05
32,2,4,8,0.8,0.00072684081781349,0.0007004318478280869,2.6408969985403097e-05
32,2,4,9,0.9,0.0010913277055595305,0.0009986847591281212,9.264294643140936e-05
32,2,4,10,1.0,0.0018212027017868726,0.001668872813285871,0.0001523298885010016
32,2,4,11,1.1,0.0031282808332128154,0.0029580672671690733,0.00017021356604374205
32,2,4,12,1.2000000000000002,0.005509080189767146,0.00510445855445707,0.0004046216353100762
32,2,4,13,1.3,0.009960520993320343,0.00859862496771957,0.0013618960256007728
32,2,4,14,1.4000000000000001,0.017541857225563673,0.013754829980978212,0.0037870272445854614
32,2,4,15,1.5,0.028239160579096256,0.021035395330789464,0.007203765248306793
32,4,8,0,0.0,0.0,0.0,0.0
32,4,8,1,0.1,1.945588512552998e-05,1.9411872780650263e-05,4.401234487971806e-08
32,4,8,2,0.2,0.00029145955080966957,0.0002888740782225341,2.5854725871354844e-06
32,4,8,3,0.30000000000000004,0.00042952074264324125,0.0005528172472865078,0.00012329650464326658
32,4,8,4,0.4,0.00043006656660793396,0.0005528214771418627,0.00012275491053392873
32,4,8,5,0.5,0.0004293383336616552,0.0005526406890374869,0.00012330235537583167
32,4,8,6,0.6000000000000001,0.00045549396125665886,0.000559371778087292,0.00010387781683063313
32,4,8,7,0.7000000000000001,0.0005395491758816151,0.0006425435954571235,0.00010299441957550837
32,4,8,8,0.8,0.0007004318478280869,0.0008520387108245098,0.0001516068629964229
32,4,8,9,0.9,0.0009986847591281212,0.0012663749194889995,0.00026769016036087834
32,4,8,10,1.0,0.001668872813285871,0.0020473163716830944,0.00037844355839722343
32,4,8,11,1.1,0.0029580672671690733,0.003306514850714426,0.00034844758354535266
32,4,8,12,1.2000000000000002,0.00510445855445707,0.005288095198825227,0.00018363664436815696
32,4,8,13,1.3,0.00859862496771957,0.008612083628988243,1.3458661268672678e-05
32,4,8,14,1.4000000000000001,0.013754829980978212,0.013486932396887807,0.0002678975840904041
32,4,8,15,1.5,0.021035395330789464,0.01973287700977755,0.001302518321011914
32,8,16,0,0.0,0.0,0.0,0.0
32,8,16,1,0.1,1.9411872780650263e-05,1.9411867385410453e-05,5.395239810468411e-12
32,8,16,2,0.2,0.0002888740782225341,0.0003012842298707463,1.2410151648212242e-05
32,8,16,3,0.30000000000000004,0.0005528172472865078,0.0006366499003220838,8.383265303557597e-05
32,8,16,4,0.4,0.0005528214771418627,0.0006366398750941027,8.381839795224e-05
32,8,16,5,0.5,0.0005526406890374869,0.0006369949239342088,8.435423489672189e-05
32,8,16,6,0.6000000000000001,0.000559371778087292,0.0006518311186498593,9.245934056256733e-05
32,8,16,7,0.7000000000000001,0.0006425435954571235,0.0007112030844839135,6.865948902678998e-05
32,8,16,8,0.8,0.0008520387108245098,0.0008696135397664451,1.7574828941935294e-05
32,8,16,9,0.9,0.0012663749194889995,0.0012401627606685173,2.6212158820482223e-05
32,8,16,10,1.0,0.0020473163716830944,0.001977669683350447,6.964668833264742e-05
32,8,16,11,1.1,0.003306514850714426,0.003227250004883886,7.926484583054005e-05
32,8,16,12,1.2000000000000002,0.005288095198825227,0.005387599473513194,9.950427468796708e-05
32,8,16,13,1.3,0.008612083628988243,0.008713708166133705,0.0001016245371454616
32,8,16,14,1.4000000000000001,0.013486932396887807,0.013149226854600848,0.00033770554228695904
32,8,16,15,1.5,0.01973287700977755,0.018483888045504382,0.0012489889642731677
64,1,2,0,0.0,0.0,0.0,0.0
64,1,2,1,0.1,1.95493735190011e-05,1.9508317847360956e-05,4.105567164014445e-08
64,1,2,2,0.2,0.00024154870997195044,0.00029515997652418413,5.3611266552233694e-05
64,1,2,3,0.30000000000000004,0.0003706901020489317,0.0004473696893835255,7.667958733459379e-05
64,1,2,4,0.4,0.0003728685817609989,0.0004483766410866563,7.55080593256574e-05
64,1,2,5,0.5,0.0003830777598894386,0.00045234304083907606,6.926528094963746e-05
64,1,2,6,0.6000000000000001,0.000394362607949561,0.0004665702089599044,7.22076010103434e-05
64,1,2,7,0.7000000000000001,0.0004051667021720551,0.00047190428546750596,6.673758329545088e-05
64,1,2,8,0.8,0.000435286055245121,0.0004841015739002197,4.88155186550987e-05
64,1,2,9,0.9,0.0005093094248910246,0.0005246088814010452,1.5299456510020626e-05
64,1,2,10,1.0,0.0006975125681375483,0.0006429715517185519,5.4541016418996335e-05
64,1,2,11,1.1,0.0011284990184996513,0.0009174747435455322,0.00021102427495411913
64,1,2,12,1.2000000000000002,0.001914903994546413,0.0013931745901196724,0.0005217294044267407
64,1,2,13,1.3,0.0031865641109152243,0.002245203290531683,0.0009413608203835411
64,1,2,14,1.4000000000000001,0.005018892368674588,0.003658556918826328,0.00136033544984826
64,1,2,15,1.5,0.007683931968177737,0.005534238366285527,0.002149693601892211
64,2,4,0,0.0,0.0,0.0,0.0
64,2,4,1,0.1,1.9508317847360956e-05,1.945588512552998e-05,5.2432721830975026e-08
64,2,4,2,0.2,0.00029515997652418413,0.00029145955080966957,3.700425714514566e-06
64,2,4,3,0.30000000000000004,0.0004473696893835255,0.00042952074264324125,1.7848946740284255e-05
64,2,4,4,0.4,0.0004483766410866563,0.0004300475802406778,1.8329060845978518e-05
64,2,4,5,0.5,0.00045234304083907606,0.00043174136294243937,2.0601677896636694e-05
64,2,4,6,0.6000000000000001,0.0004665702089599044,0.0004363360292446439,3.0234179715260545e-05
64,2,4,7,0.7000000000000001,0.00047190428546750596,0.0004391820441217442,3.272224134576174e-05
64,2,4,8,0.8,0.0004841015739002197,0.0004437202371458948,4.038133675432487e-05
64,2,4,9,0.9,0.0005246088814010452,0.0004837063898359695,4.090249156507575e-05
64,2,4,10,1.0,0.0006429715517185519,0.0006073862942407304,3.5585257477821486e-05
64,2,4,11,1.1,0.0009174747435455322,0.0008516409913656986,6.583375217983356e-05
64,2,4,12,1.2000000000000002,0.0013931745901196724,0.0012860006940209612,0.0001071738960987112
64,2,4,13,1.3,0.002245203290531683,0.0020263395688390196,0.00021886372169266366
64,2,4,14,1.4000000000000001,0.003658556918826328,0.0032399690849508334,0.0004185878338754945
64,2,4,15,1.5,0.005534238366285527,0.004880602207893658,0.0006536361583918682
64,4,8,0,0.0,0.0,0.0,0.0
64,4,8,1,0.1,1.945588512552998e-05,1.9411872780650263e-05,4.401234487971806e-08
64,4,8,2,0.2,0.00029145955080966957,0.0002888740782225341,2.5854725871354844e-06
64,4,8,3,0.30000000000000004,0.00042952074264324125,0.0005528172472865078,0.00012329650464326658
64,4,8,4,0.4,0.0004300475802406778,0.0005530943365072982,0.00012304675626662043
64,4,8,5,0.5,0.00043174136294243937,0.0005538808251344118,0.00012213946219197247
64,4,8,6,0.6000000000000001,0.0004363360292446439,0.0005557695821969411,0.00011943355295229718
64,4,8,7,0.7000000000000001,0.0004391820441217442,0.0005551980108068344,0.00011601596668509018
64,4,8,8,0.8,0.0004437202371458948,0.000555295144523793,0.00011157490737789821
64,4,8,9,0.9,0.0004837063898359695,0.0005755100566608995,9.180366682493002e-05
64,4,8,10,1.0,0.0006073862942407304,0.0006699991457561616,6.261285151543117e-05
64,4,8,11,1.1,0.0008516409913656986,0.0008997274727143845,4.808648134868587e-05
64,4,8,12,1.2000000000000002,0.0012860006940209612,0.001330505732702214,4.4505038681252884e-05
64,4,8,13,1.3,0.0020263395688390196,0.00209620386797138,6.986429913236059e-05
64,4,8,14,1.4000000000000001,0.0032399690849508334,0.003305579767675204,6.561068272437076e-05
64,4,8,15,1.5,0.004880602207893658,0.004780856627925045,9.974557996861311e-05
64,8,16,0,0.0,0.0,0.0,0.0
64,8,16,1,0.1,1.9411872780650263e-05,1.9411867385410453e-05,5.395239810468411e-12
64,8,16,2,0.2,0.0002888740782225341,0.0003012842298707463,1.2410151648212242e-05
64,8,16,3,0.30000000000000004,0.0005528172472865078,0.0006366499003220838,8.383265303557597e-05
64,8,16,4,0.4,0.0005530943365072982,0.0006367861143289355,8.369177782163728e-05
64,8,16,5,0.5,0.0005538808251344118,0.0006371410234807806,8.326019834636877e-05
64,8,16,6,0.6000000000000001,0.0005557695821969411,0.000637925154193586,8.215557199664492e-05
64,8,16,7,0.7000000000000001,0.0005551980108068344,0.0006379937664720003,8.279575566516595e-05
64,8,16,8,0.8,0.000555295144523793,0.0006397600762553246,8.446493173153158e-05
64,8,16,9,0.9,0.0005755100566608995,0.0006636996271314199,8.818957047052045e-05
64,8,16,10,1.0,0.0006699991457561616,0.000772009822184172,0.00010201067642801043
64,8,16,11,1.1,0.0008997274727143845,0.0010369549814408519,0.00013722750872646738
64,8,16,12,1.2000000000000002,0.001330505732702214,0.0015183705109633738,0.00018786477826115977
64,8,16,13,1.3,0.00209620386797138,0.002363591713711255,0.00026738784573987484
64,8,16,14,1.4000000000000001,0.003305579767675204,0.0036435316698507636,0.0003379519021755595
64,8,16,15,1.5,0.004780856627925045,0.005165000822066057,0.00038414419414101175
