chi_max,tdvp_substeps,config_hash,cache_key,trotter_step,time,infidelity,state_norm,peak_max_bond,peak_param_count,param_count,cumulative_runtime_s,step_runtime_s,discarded_weight_step,failed,failure_message,krylov_failed,pairwise_infidelity_vs_2n,D_n
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,0.0,0.0,0.0,1.0,1.0,0.0,32.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,1.0,0.1,1.95493735190011e-05,0.9999999999999544,6.0,248.0,248.0,0.10147599934134632,0.10474080801941454,8.382722745788846e-14,0.0,,0.0,1.3703606693837855e-08,4.105567164014445e-08
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,2.0,0.2,0.00024154870997195044,0.9999999999995907,14.0,2204.0,2204.0,0.23118252970743924,0.1330494279973209,1.093144334743638e-12,0.0,,0.0,1.4603999437090565e-05,5.3611266552233694e-05
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,3.0,0.30000000000000004,0.00037186763082497354,0.9999999902020014,16.0,4728.0,4728.0,0.4261724513489753,0.19899810396600515,3.511857252461646e-05,0.0,,0.0,5.614758449912216e-05,7.584326079435044e-05
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,4.0,0.4,0.00040009523095940747,0.9999998583413867,16.0,4776.0,4776.0,0.6337905277032405,0.21138848294503987,0.0001664544182511001,0.0,,0.0,7.90484888191223e-05,4.789540234262368e-05
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,5.0,0.5,0.0005215413067840569,0.9999999999999998,16.0,4776.0,4776.0,0.848097265814431,0.21813602303154767,0.00021069027878653396,0.0,,0.0,0.00038751842450968077,2.0912593397204304e-05
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,6.0,0.6000000000000001,0.0007406072397240226,1.0000000000000033,16.0,4776.0,4776.0,1.0741078754654154,0.22991422610357404,0.0001748308548860982,0.0,,0.0,0.0006486933836120645,0.00010906779361830043
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,7.0,0.7000000000000001,0.001409890343251452,1.0000000000000004,16.0,4776.0,4776.0,1.3050308151869103,0.23508069606032223,0.0003239235414461366,0.0,,0.0,0.0009578523773767778,0.00014549878446201703
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,8.0,0.8,0.002999123298941697,0.9999999999999993,16.0,4776.0,4776.0,1.5410470623755828,0.23995436110999435,0.0008402307995471183,0.0,,0.0,0.001347752839403693,1.5853544125032926e-05
16.0,1.0,60c5f6e09b155e7b,chi16_n1_60c5f6e09b155e7b,9.0,0.9,0.007179793252777067,1.0000000000000016,16.0,4776.0,4776.0,1.7808398589259014,0.24366007500793785,0.0017540243849034373,0.0,,0.0,0.002472386972023344,0.0010804504520377511
