chi_max,ratio_label,trotter_step,time,D_low,D_high,D_ratio
16,D8_over_D4,1,0.1,4.401234487971806e-08,5.395239810468411e-12,0.00012258469357206793
16,D8_over_D4,2,0.2,2.5854725871354844e-06,1.2410151648212242e-05,4.799954836095086
16,D8_over_D4,3,0.30000000000000004,0.00012345656272472194,8.350711626781138e-05,0.6764088876669271
16,D8_over_D4,4,0.4,9.656393141532771e-05,8.862598991477011e-05,0.9177959991457266
16,D8_over_D4,5,0.5,0.00021014887733539211,5.5889398443809135e-05,0.26595144905109874
16,D8_over_D4,6,0.6000000000000001,0.000507011499385257,7.719808855510824e-05,0.15226102099993713
16,D8_over_D4,7,0.7000000000000001,0.0010025840699495747,0.00042993139948799275,0.42882329011034087
16,D8_over_D4,8,0.8,0.0013534338584189065,0.0007524993312363337,0.5559926896726303
16,D8_over_D4,9,0.9,0.0016601154029329823,0.0010785805568941376,0.6497021562408087
16,D8_over_D4,10,1.0,0.001583438124066694,0.002033900920717424,1.2844839907566585
16,D8_over_D4_all_steps,0,0.0,0.0,0.0,0.0
16,D8_over_D4_all_steps,11,1.1,0.001223055455316202,0.004529581867876886,3.703496720601138
16,D8_over_D4_all_steps,12,1.2000000000000002,0.0007192996247666894,0.007660831582076311,10.650403973950581
16,D8_over_D4_all_steps,13,1.3,0.00039888861986059343,0.009701592341318399,24.321557092074936
16,D8_over_D4_all_steps,14,1.4000000000000001,0.003268063979406377,0.009109132506707973,2.7873176792464722
16,D8_over_D4_all_steps,15,1.5,0.007365320213593707,0.009259176641756128,1.2571315806021646
32,D8_over_D4,1,0.1,4.401234487971806e-08,5.395239810468411e-12,0.00012258469357206793
32,D8_over_D4,2,0.2,2.5854725871354844e-06,1.2410151648212242e-05,4.799954836095086
32,D8_over_D4,3,0.30000000000000004,0.00012329650464326658,8.383265303557597e-05,0.6799272475576558
32,D8_over_D4,4,0.4,0.00012275491053392873,8.381839795224e-05,0.6828109571150157
32,D8_over_D4,5,0.5,0.00012330235537583167,8.435423489672189e-05,0.6841250894162242
32,D8_over_D4,6,0.6000000000000001,0.00010387781683063313,9.245934056256733e-05,0.8900778181863123
32,D8_over_D4,7,0.7000000000000001,0.00010299441957550837,6.865948902678998e-05,0.6666330982762965
32,D8_over_D4,8,0.8,0.0001516068629964229,1.7574828941935294e-05,0.11592370288903059
32,D8_over_D4,9,0.9,0.00026769016036087834,2.6212158820482223e-05,0.09791976957668186
32,D8_over_D4,10,1.0,0.00037844355839722343,6.964668833264742e-05,0.1840345456733725
32,D8_over_D4,11,1.1,0.00034844758354535266,7.926484583054005e-05,0.2274799699399357
32,D8_over_D4,12,1.2000000000000002,0.00018363664436815696,9.950427468796708e-05,0.5418541328193719
32,D8_over_D4,13,1.3,1.3458661268672678e-05,0.0001016245371454616,7.550865209900928
32,D8_over_D4,14,1.4000000000000001,0.0002678975840904041,0.00033770554228695904,1.2605770351889314
32,D8_over_D4_all_steps,0,0.0,0.0,0.0,0.0
32,D8_over_D4_all_steps,15,1.5,0.001302518321011914,0.0012489889642731677,0.9589031832602862
64,D8_over_D4,1,0.1,4.401234487971806e-08,5.395239810468411e-12,0.00012258469357206793
64,D8_over_D4,2,0.2,2.5854725871354844e-06,1.2410151648212242e-05,4.799954836095086
64,D8_over_D4,3,0.30000000000000004,0.00012329650464326658,8.383265303557597e-05,0.6799272475576558
64,D8_over_D4,4,0.4,0.00012304675626662043,8.369177782163728e-05,0.6801624062343593
64,D8_over_D4,5,0.5,0.00012213946219197247,8.326019834636877e-05,0.6816813898812222
64,D8_over_D4,6,0.6000000000000001,0.00011943355295229718,8.215557199664492e-05,0.6878768148968872
64,D8_over_D4,7,0.7000000000000001,0.00011601596668509018,8.279575566516595e-05,0.7136582836904161
64,D8_over_D4,8,0.8,0.00011157490737789821,8.446493173153158e-05,0.7570244396031932
64,D8_over_D4,9,0.9,9.180366682493002e-05,8.818957047052045e-05,0.9606323311540305
64,D8_over_D4,10,1.0,6.261285151543117e-05,0.00010201067642801043,1.6292290473764723
64,D8_over_D4,11,1.1,4.808648134868587e-05,0.00013722750872646738,2.8537648186690956
64,D8_over_D4,12,1.2000000000000002,4.4505038681252884e-05,0.00018786477826115977,4.221202448708244
64,D8_over_D4,13,1.3,6.986429913236059e-05,0.00026738784573987484,3.827245804517388
64,D8_over_D4,14,1.4000000000000001,6.561068272437076e-05,0.0003379519021755595,5.150867025653262
64,D8_over_D4,15,1.5,9.974557996861311e-05,0.00038414419414101175,3.851240268109025
64,D8_over_D4_all_steps,0,0.0,0.0,0.0,0.0
