variant,k,N,seed,n_sequences,n_observed_cells,fit_lam,fit_weight_tol,mean_sq_residual_constraints,err_fit_U_vs_exhaustive,err_fit_pred_state_frob,err_fit_pred_state_trace,prefactor_fit_pred,err_trunc_r4_pred_state_frob,err_trunc_r8_pred_state_frob,err_trunc_r4_pred_state_trace,err_trunc_r8_pred_state_trace
sis_local_fit_ls,1,4,13385,4,4,1e-08,1e-30,4.88888868234761e-16,1.154700516247492,0.3269804919643767,0.23121012318372422,0.6539609839287533,0.33375431971322184,0.3269804919643767,0.23599994271952218,0.23121012318372416
sis_local_fit_ls,1,8,13425,8,8,1e-08,1e-30,6.83673459691795e-17,0.6961995887016624,0.5308570450056044,0.3753726163641152,1.5014904654564605,0.5127077826289185,0.5308570450056045,0.3625391498640267,0.3753726163641153
sis_local_fit_ls,1,16,13505,16,12,1e-08,1e-30,6.666666098985242e-17,3.4462963401970345e-08,3.4545880721539066e-08,2.442762651896744e-08,1.3818352288615626e-07,3.244914674724727e-08,3.454588040259874e-08,2.2945011708695945e-08,2.4427626295502404e-08
