method,chi_max,trotter_step,time,infidelity,state_norm,cumulative_runtime_s,step_runtime_s,current_max_bond,peak_max_bond,param_count,peak_param_count,memory_bytes,peak_memory_bytes,discarded_weight_step,largest_intermediate_elements,failed,failure_message,converged,source,tag
hybrid_tdvp,12.0,7.0,0.7000000000000001,0.010086302973656869,1.0000000000000024,1.1474270571488887,0.20170676801353693,12.0,12.0,2856.0,2856.0,45696.0,45696.0,0.002079913016034295,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,32.0,0.0,512.0,0.0,0.0,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,1.0,0.1,1.95493735190011e-05,0.9999999999999544,0.10279885050840676,0.10565437492914498,6.0,6.0,248.0,248.0,3968.0,3968.0,8.382722745788846e-14,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,2.0,0.2,0.00024154870997195044,0.9999999999995907,0.231357155716978,0.1312567729037255,14.0,14.0,2204.0,2204.0,35264.0,35264.0,1.093144334743638e-12,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,3.0,0.30000000000000004,0.00037186763082497354,0.9999999902020014,0.42140580783598125,0.1930873739765957,16.0,16.0,4728.0,4728.0,75648.0,75648.0,3.511857252461646e-05,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,4.0,0.4,0.00040009523095940747,0.9999998583413867,0.6245256458641961,0.20601014501880854,16.0,16.0,4776.0,4776.0,76416.0,76416.0,0.0001664544182511001,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,5.0,0.5,0.0005215413067840569,0.9999999999999998,0.8335960577242076,0.21208118903450668,16.0,16.0,4776.0,4776.0,76416.0,76416.0,0.00021069027878653396,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,6.0,0.6000000000000001,0.0007406072397240226,1.0000000000000033,1.0502658509649336,0.219696027925238,16.0,16.0,4776.0,4776.0,76416.0,76416.0,0.0001748308548860982,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,7.0,0.7000000000000001,0.001409890343251452,1.0000000000000004,1.2726134996628389,0.22572287102229893,16.0,16.0,4776.0,4776.0,76416.0,76416.0,0.0003239235414461366,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,8.0,0.8,0.002999123298941697,0.9999999999999993,1.5017530689947307,0.23317075602244586,16.0,16.0,4776.0,4776.0,76416.0,76416.0,0.0008402307995471183,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,9.0,0.9,0.007179793252777067,1.0000000000000016,1.7367241540923715,0.2388485069386661,16.0,16.0,4776.0,4776.0,76416.0,76416.0,0.0017540243849034373,0.0,0.0,,1.0,generated,main
hybrid_tdvp,16.0,10.0,1.0,0.015976682697754097,1.0000000000000016,1.9828641908243299,0.25128354399930686,16.0,16.0,4776.0,4776.0,76416.0,76416.0,0.003118825594931088,0.0,0.0,,1.0,generated,main
hybrid_tdvp,24.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,32.0,0.0,512.0,0.0,0.0,0.0,0.0,,1.0,generated,main
hybrid_tdvp,24.0,1.0,0.1,1.95493735190011e-05,0.9999999999999544,0.09870429255533963,0.10183544491883367,6.0,6.0,248.0,248.0,3968.0,3968.0,8.382722745788846e-14,0.0,0.0,,1.0,generated,main
hybrid_tdvp,24.0,2.0,0.2,0.00024154870997195044,0.9999999999995907,0.2275199017021805,0.13217622693628073,14.0,14.0,2204.0,2204.0,35264.0,35264.0,1.093144334743638e-12,0.0,0.0,,1.0,generated,main
hybrid_tdvp,24.0,3.0,0.30000000000000004,0.0003702064692645557,0.9999999999987838,0.4762547992868349,0.2531599869253114,24.0,24.0,8140.0,8140.0,130240.0,130240.0,2.9714509988318796e-07,0.0,0.0,,1.0,generated,main
hybrid_tdvp,24.0,4.0,0.4,0.0003745251026063823,0.9999999888136584,0.8813711564289406,0.4093732659239322,24.0,24.0,9128.0,9128.0,146048.0,146048.0,5.6150211967323274e-05,0.0,0.0,,1.0,generated,main
hybrid_tdvp,24.0,5.0,0.5,0.0003975808980664075,0.9999999262203899,1.299054516479373,0.422182593960315,24.0,24.0,9128.0,9128.0,146048.0,146048.0,0.00012042679871929024,0.0,0.0,,1.0,generated,main
hybrid_tdvp,24.0,6.0,0.6000000000000001,0.0004488545248494402,0.9999997365821459,1.7266837554052472,0.43220241204835474,24.0,24.0,9128.0,9128.0,146048.0,146048.0,0.00016797294433533978,0.0,0.0,,1.0,generated,main
hybrid_tdvp,24.0,7.0,0.7000000000000001,0.0006001534803176112,1.0000000000000022,2.158508855267428,0.43615095992572606,24.0,24.0,9128.0,9128.0,146048.0,146048.0,0.0001870561427126608,0.0,0.0,,1.0,generated,main
