method,chi_max,repeat,trotter_step,time,infidelity,cumulative_runtime_s,peak_param_count,failed
hybrid_tdvp,12,1,5,0.5,0.0018267440934993662,0.7546473980182782,2856,0
hybrid_tdvp,12,1,6,0.6000000000000001,0.004939203907251444,0.9466324317036197,2856,0
hybrid_tdvp,12,1,7,0.7000000000000001,0.010086302973656869,1.1466288865776733,2856,0
hybrid_tdvp,12,2,0,0.0,0.0,0.0,0,0
hybrid_tdvp,12,2,1,0.1,1.95493735190011e-05,0.10073393711354584,248,0
hybrid_tdvp,12,2,2,0.2,0.0002415508675565059,0.22845985018648207,1974,0
hybrid_tdvp,12,2,3,0.30000000000000004,0.0004882842649716057,0.3977581295184791,2856,0
hybrid_tdvp,12,2,4,0.4,0.0008205582428830738,0.5711512682028115,2856,0
hybrid_tdvp,12,2,5,0.5,0.0018267440934993662,0.7563117955578491,2856,0
hybrid_tdvp,12,2,6,0.6000000000000001,0.004939203907251444,0.951749530271627,2856,0
hybrid_tdvp,12,2,7,0.7000000000000001,0.010086302973656869,1.1508762899320573,2856,0
hybrid_tdvp,16,0,0,0.0,0.0,0.0,0,0
hybrid_tdvp,16,0,1,0.1,1.95493735190011e-05,0.0990305069135502,248,0
hybrid_tdvp,16,0,2,0.2,0.00024154870997195044,0.2275247210636735,2204,0
hybrid_tdvp,16,0,3,0.30000000000000004,0.00037186763082497354,0.41917300410568714,4728,0
hybrid_tdvp,16,0,4,0.4,0.00040009523095940747,0.6245730106020346,4776,0
hybrid_tdvp,16,0,5,0.5,0.0005215413067840569,0.8363033675123006,4776,0
hybrid_tdvp,16,0,6,0.6000000000000001,0.0007406072397240226,1.0564722542185336,4776,0
hybrid_tdvp,16,0,7,0.7000000000000001,0.001409890343251452,1.2821035246597603,4776,0
hybrid_tdvp,16,0,8,0.8,0.002999123298941697,1.5171694038435817,4776,0
hybrid_tdvp,16,0,9,0.9,0.007179793252777067,1.7513679853873327,4776,0
hybrid_tdvp,16,0,10,1.0,0.015976682697754097,1.9881210983730853,4776,0
hybrid_tdvp,16,1,0,0.0,0.0,0.0,0,0
hybrid_tdvp,16,1,1,0.1,1.95493735190011e-05,0.09870111453346908,248,0
hybrid_tdvp,16,1,2,0.2,0.00024154870997195044,0.23479547642637044,2204,0
hybrid_tdvp,16,1,3,0.30000000000000004,0.00037186763082497354,0.43148594291415066,4728,0
hybrid_tdvp,16,1,4,0.4,0.00040009523095940747,0.6371675566770136,4776,0
hybrid_tdvp,16,1,5,0.5,0.0005215413067840569,0.8492967135971412,4776,0
hybrid_tdvp,16,1,6,0.6000000000000001,0.0007406072397240226,1.070591633557342,4776,0
hybrid_tdvp,16,1,7,0.7000000000000001,0.001409890343251452,1.2963126708054915,4776,0
hybrid_tdvp,16,1,8,0.8,0.002999123298941697,1.5281909959157929,4776,0
hybrid_tdvp,16,1,9,0.9,0.007179793252777067,1.7638173529412597,4776,0
hybrid_tdvp,16,1,10,1.0,0.015976682697754097,2.0005103298462927,4776,0
hybrid_tdvp,16,2,0,0.0,0.0,0.0,0,0
hybrid_tdvp,16,2,1,0.1,1.95493735190011e-05,0.10030216991435736,248,0
hybrid_tdvp,16,2,2,0.2,0.00024154870997195044,0.2285816443618387,2204,0
hybrid_tdvp,16,2,3,0.30000000000000004,0.00037186763082497354,0.42104062892030925,4728,0
hybrid_tdvp,16,2,4,0.4,0.00040009523095940747,0.626186734996736,4776,0
hybrid_tdvp,16,2,5,0.5,0.0005215413067840569,0.83825984376017,4776,0
hybrid_tdvp,16,2,6,0.6000000000000001,0.0007406072397240226,1.0601610539015383,4776,0
hybrid_tdvp,16,2,7,0.7000000000000001,0.001409890343251452,1.2857601182768121,4776,0
hybrid_tdvp,16,2,8,0.8,0.002999123298941697,1.5188455362804234,4776,0
hybrid_tdvp,16,2,9,0.9,0.007179793252777067,1.754658337449655,4776,0
hybrid_tdvp,16,2,10,1.0,0.015976682697754097,1.9908800616394728,4776,0
hybrid_tdvp,24,0,0,0.0,0.0,0.0,0,0
hybrid_tdvp,24,0,1,0.1,1.95493735190011e-05,0.10331607575062662,248,0
hybrid_tdvp,24,0,2,0.2,0.00024154870997195044,0.23573281080462039,2204,0
hybrid_tdvp,24,0,3,0.30000000000000004,0.0003702064692645557,0.468493768828921,8140,0
hybrid_tdvp,24,0,4,0.4,0.0003745251026063823,0.8816729267127812,9128,0
hybrid_tdvp,24,0,5,0.5,0.0003975808980664075,1.3048447016626596,9128,0
hybrid_tdvp,24,0,6,0.6000000000000001,0.0004488545248494402,1.734376314561814,9128,0
hybrid_tdvp,24,0,7,0.7000000000000001,0.0006001534803176112,2.186800567433238,9128,0
hybrid_tdvp,24,0,8,0.8,0.0009486152813771298,2.646336323581636,9128,0
hybrid_tdvp,24,0,9,0.9,0.001647072501455682,3.113172016106546,9128,0
hybrid_tdvp,24,0,10,1.0,0.003256444429923455,3.5779923159861937,9128,0
hybrid_tdvp,24,0,11,1.1,0.0072952262028520565,4.038011237047613,9128,0
hybrid_tdvp,24,0,12,1.2000000000000002,0.01528291813403837,4.49671324971132,9128,0
hybrid_tdvp,24,1,0,0.0,0.0,0.0,0,0
hybrid_tdvp,24,1,1,0.1,1.95493735190011e-05,0.09889717563055456,248,0
hybrid_tdvp,24,1,2,0.2,0.00024154870997195044,0.22746295027900487,2204,0
hybrid_tdvp,24,1,3,0.30000000000000004,0.0003702064692645557,0.4615829006070271,8140,0
hybrid_tdvp,24,1,4,0.4,0.0003745251026063823,0.8701756335794926,9128,0
hybrid_tdvp,24,1,5,0.5,0.0003975808980664075,1.2973497528582811,9128,0
hybrid_tdvp,24,1,6,0.6000000000000001,0.0004488545248494402,1.7348223506705835,9128,0
hybrid_tdvp,24,1,7,0.7000000000000001,0.0006001534803176112,2.1763193731894717,9128,0
hybrid_tdvp,24,1,8,0.8,0.0009486152813771298,2.6229704334400594,9128,0
hybrid_tdvp,24,1,9,0.9,0.001647072501455682,3.081282918690704,9128,0
hybrid_tdvp,24,1,10,1.0,0.003256444429923455,3.541276391944848,9128,0
hybrid_tdvp,24,1,11,1.1,0.0072952262028520565,3.9990956648252904,9128,0
hybrid_tdvp,24,1,12,1.2000000000000002,0.01528291813403837,4.458409688784741,9128,0
hybrid_tdvp,24,2,0,0.0,0.0,0.0,0,0
hybrid_tdvp,24,2,1,0.1,1.95493735190011e-05,0.09876823518425226,248,0
hybrid_tdvp,24,2,2,0.2,0.00024154870997195044,0.22568290773779154,2204,0
hybrid_tdvp,24,2,3,0.30000000000000004,0.0003702064692645557,0.457675255369395,8140,0
hybrid_tdvp,24,2,4,0.4,0.0003745251026063823,0.8704897606512532,9128,0
hybrid_tdvp,24,2,5,0.5,0.0003975808980664075,1.286823745118454,9128,0
hybrid_tdvp,24,2,6,0.6000000000000001,0.0004488545248494402,1.713302904041484,9128,0
hybrid_tdvp,24,2,7,0.7000000000000001,0.0006001534803176112,2.1451351405121386,9128,0
hybrid_tdvp,24,2,8,0.8,0.0009486152813771298,2.584801161312498,9128,0
hybrid_tdvp,24,2,9,0.9,0.001647072501455682,3.029029621160589,9128,0
hybrid_tdvp,24,2,10,1.0,0.003256444429923455,3.517663671867922,9128,0
hybrid_tdvp,24,2,11,1.1,0.0072952262028520565,3.9791875357041135,9128,0
hybrid_tdvp,24,2,12,1.2000000000000002,0.01528291813403837,4.443254715646617,9128,0
hybrid_tdvp,32,0,0,0.0,0.0,0.0,0,0
hybrid_tdvp,32,0,1,0.1,1.95493735190011e-05,0.09989078296348453,248,0
hybrid_tdvp,32,0,2,0.2,0.00024154870997195044,0.22859972773585469,2204,0
hybrid_tdvp,32,0,3,0.30000000000000004,0.0003706901020489317,0.48416444298345596,10090,0
hybrid_tdvp,32,0,4,0.4,0.0003707165735487017,1.5775422368897125,14248,0
hybrid_tdvp,32,0,5,0.5,0.00037359662184877074,3.232124859234318,15016,0
hybrid_tdvp,32,0,6,0.6000000000000001,0.00040543138655935174,5.114687114953995,15016,0
hybrid_tdvp,32,0,7,0.7000000000000001,0.0004840289211101023,7.1149825404863805,15016,0
hybrid_tdvp,32,0,8,0.8,0.0006380338772493666,9.317785419989377,15016,0
hybrid_tdvp,32,0,9,0.9,0.0009637382936906747,10.765006048721261,15016,0
hybrid_tdvp,32,0,10,1.0,0.001771088982275626,12.157852947129868,15016,0
hybrid_tdvp,32,0,11,1.1,0.003438081473176813,14.26282474596519,15016,0
hybrid_tdvp,32,0,12,1.2000000000000002,0.006826257627431276,16.36814359051641,15016,0
hybrid_tdvp,32,0,13,1.3,0.013015151948579162,18.016539988457225,15016,0
hybrid_tdvp,32,1,0,0.0,0.0,0.0,0,0
hybrid_tdvp,32,1,1,0.1,1.95493735190011e-05,0.09921236941590905,248,0
hybrid_tdvp,32,1,2,0.2,0.00024154870997195044,0.23195015301462263,2204,0
hybrid_tdvp,32,1,3,0.30000000000000004,0.0003706901020489317,0.47162419627420604,10090,0
hybrid_tdvp,32,1,4,0.4,0.0003707165735487017,1.1568312633316964,14248,0
hybrid_tdvp,32,1,5,0.5,0.00037359662184877074,2.449527434306219,15016,0
hybrid_tdvp,32,1,6,0.6000000000000001,0.00040543138655935174,3.80287019291427,15016,0
hybrid_tdvp,32,1,7,0.7000000000000001,0.0004840289211101023,5.1300099436193705,15016,0
hybrid_tdvp,32,1,8,0.8,0.0006380338772493666,6.52380319358781,15016,0
hybrid_tdvp,32,1,9,0.9,0.0009637382936906747,7.857851363020018,15016,0
hybrid_tdvp,32,1,10,1.0,0.001771088982275626,9.18978563719429,15016,0
hybrid_tdvp,32,1,11,1.1,0.003438081473176813,10.499265789054334,15016,0
hybrid_tdvp,32,1,12,1.2000000000000002,0.006826257627431276,11.8841933386866,15016,0
hybrid_tdvp,32,1,13,1.3,0.013015151948579162,13.237230838043615,15016,0
hybrid_tdvp,32,2,0,0.0,0.0,0.0,0,0
hybrid_tdvp,32,2,1,0.1,1.95493735190011e-05,0.10469159693457186,248,0
hybrid_tdvp,32,2,2,0.2,0.00024154870997195044,0.23413979215547442,2204,0
hybrid_tdvp,32,2,3,0.30000000000000004,0.0003706901020489317,0.47799594642128795,10090,0
hybrid_tdvp,32,2,4,0.4,0.0003707165735487017,1.1507476416882128,14248,0
hybrid_tdvp,32,2,5,0.5,0.00037359662184877074,2.3581176785519347,15016,0
hybrid_tdvp,32,2,6,0.6000000000000001,0.00040543138655935174,3.642599296174012,15016,0
hybrid_tdvp,32,2,7,0.7000000000000001,0.0004840289211101023,4.957402525353245,15016,0
hybrid_tdvp,32,2,8,0.8,0.0006380338772493666,6.292281008674763,15016,0
hybrid_tdvp,32,2,9,0.9,0.0009637382936906747,7.618900182656944,15016,0
hybrid_tdvp,32,2,10,1.0,0.001771088982275626,8.95453431783244,15016,0
hybrid_tdvp,32,2,11,1.1,0.003438081473176813,10.285138793173246,15016,0
hybrid_tdvp,32,2,12,1.2000000000000002,0.006826257627431276,11.601202787947841,15016,0
hybrid_tdvp,32,2,13,1.3,0.013015151948579162,12.945667365100235,15016,0
hybrid_tdvp,48,0,0,0.0,0.0,0.0,0,0
hybrid_tdvp,48,0,1,0.1,1.95493735190011e-05,0.09895680064801127,248,0
hybrid_tdvp,48,0,2,0.2,0.00024154870997195044,0.22770056733861566,2204,0
hybrid_tdvp,48,0,3,0.30000000000000004,0.0003706901020489317,0.46866025018971413,10090,0
hybrid_tdvp,48,0,4,0.4,0.0003728685817609989,1.2915630022762343,20964,0
hybrid_tdvp,48,0,5,0.5,0.00037631609521715514,5.012807596940547,27176,0
hybrid_tdvp,48,0,6,0.6000000000000001,0.00037785449229610357,12.703030964010395,27304,0
hybrid_tdvp,48,0,7,0.7000000000000001,0.00039830944559848813,20.646958138560876,27304,0
hybrid_tdvp,48,0,8,0.8,0.00046602726434163966,28.598665294935927,27304,0
hybrid_tdvp,48,0,9,0.9,0.0006239817522024627,36.58922889223322,27304,0
hybrid_tdvp,48,0,10,1.0,0.0009869675919144116,44.654272127198055,27304,0
hybrid_tdvp,48,0,11,1.1,0.0017423168944503686,52.74184900627006,27304,0
hybrid_tdvp,48,0,12,1.2000000000000002,0.0031398991586506497,60.74321030813735,27304,0
hybrid_tdvp,48,0,13,1.3,0.005490242220035468,68.75706233596429,27304,0
hybrid_tdvp,48,0,14,1.4000000000000001,0.009367289928388423,76.88405025971588,27304,0
hybrid_tdvp,48,0,15,1.5,0.015187719113557763,85.0936424509855,27304,0
hybrid_tdvp,48,1,0,0.0,0.0,0.0,0,0
hybrid_tdvp,48,1,1,0.1,1.95493735190011e-05,0.09963758813682944,248,0
hybrid_tdvp,48,1,2,0.2,0.00024154870997195044,0.22725066519342363,2204,0
hybrid_tdvp,48,1,3,0.30000000000000004,0.0003706901020489317,0.4682991332374513,10090,0
hybrid_tdvp,48,1,4,0.4,0.0003728685817609989,1.303326743771322,20964,0
hybrid_tdvp,48,1,5,0.5,0.00037631609521715514,5.121335799689405,27176,0
hybrid_tdvp,48,1,6,0.6000000000000001,0.00037785449229610357,12.945041643106379,27304,0
hybrid_tdvp,48,1,7,0.7000000000000001,0.00039830944559848813,21.201353018870577,27304,0
hybrid_tdvp,48,1,8,0.8,0.00046602726434163966,29.34508629969787,27304,0
hybrid_tdvp,48,1,9,0.9,0.0006239817522024627,37.558827713597566,27304,0
hybrid_tdvp,48,1,10,1.0,0.0009869675919144116,45.73931606125552,27304,0
hybrid_tdvp,48,1,11,1.1,0.0017423168944503686,53.88168795732781,27304,0
hybrid_tdvp,48,1,12,1.2000000000000002,0.0031398991586506497,62.03457877028268,27304,0
hybrid_tdvp,48,1,13,1.3,0.005490242220035468,70.25702294579241,27304,0
hybrid_tdvp,48,1,14,1.4000000000000001,0.009367289928388423,79.21886824222747,27304,0
hybrid_tdvp,48,1,15,1.5,0.015187719113557763,88.40779418149032,27304,0
hybrid_tdvp,48,2,0,0.0,0.0,0.0,0,0
hybrid_tdvp,48,2,1,0.1,1.95493735190011e-05,0.10016965796239674,248,0
hybrid_tdvp,48,2,2,0.2,0.00024154870997195044,0.23090785020031035,2204,0
hybrid_tdvp,48,2,3,0.30000000000000004,0.0003706901020489317,0.4792485643411055,10090,0
hybrid_tdvp,48,2,4,0.4,0.0003728685817609989,1.3456979843322188,20964,0
hybrid_tdvp,48,2,5,0.5,0.00037631609521715514,5.370534118032083,27176,0
hybrid_tdvp,48,2,6,0.6000000000000001,0.00037785449229610357,14.491616822662763,27304,0
hybrid_tdvp,48,2,7,0.7000000000000001,0.00039830944559848813,25.025498274248093,27304,0
hybrid_tdvp,48,2,8,0.8,0.00046602726434163966,32.66647389472928,27304,0
hybrid_tdvp,48,2,9,0.9,0.0006239817522024627,39.95959853194654,27304,0
hybrid_tdvp,48,2,10,1.0,0.0009869675919144116,48.19043928280007,27304,0
hybrid_tdvp,48,2,11,1.1,0.0017423168944503686,56.2941407810431,27304,0
hybrid_tdvp,48,2,12,1.2000000000000002,0.0031398991586506497,64.81167618406471,27304,0
hybrid_tdvp,48,2,13,1.3,0.005490242220035468,73.53974604140967,27304,0
hybrid_tdvp,48,2,14,1.4000000000000001,0.009367289928388423,82.03367589786649,27304,0
hybrid_tdvp,48,2,15,1.5,0.015187719113557763,91.62398191879038,27304,0
hybrid_tdvp,64,0,0,0.0,0.0,0.0,0,0
hybrid_tdvp,64,0,1,0.1,1.95493735190011e-05,0.09975135128479451,248,0
hybrid_tdvp,64,0,2,0.2,0.00024154870997195044,0.23012203606776893,2204,0
hybrid_tdvp,64,0,3,0.30000000000000004,0.0003706901020489317,0.48170718911569566,10090,0
hybrid_tdvp,64,0,4,0.4,0.0003728685817609989,1.4127716432558373,20964,0
hybrid_tdvp,64,0,5,0.5,0.0003830777598894386,6.745288094272837,34488,0
hybrid_tdvp,64,0,6,0.6000000000000001,0.000394362607949561,25.767589888651855,43688,0
hybrid_tdvp,64,0,7,0.7000000000000001,0.0004051667021720551,50.39653872093186,43688,0
hybrid_tdvp,64,0,8,0.8,0.000435286055245121,77.08096312219277,43688,0
hybrid_tdvp,64,0,9,0.9,0.0005093094248910246,103.70756514929235,43688,0
hybrid_tdvp,64,0,10,1.0,0.0006975125681375483,130.31789496005513,43688,0
hybrid_tdvp,64,0,11,1.1,0.0011284990184996513,156.8030681986129,43688,0
hybrid_tdvp,64,0,12,1.2000000000000002,0.001914903994546413,183.42366206715815,43688,0
hybrid_tdvp,64,0,13,1.3,0.0031865641109152243,210.03469586814754,43688,0
hybrid_tdvp,64,0,14,1.4000000000000001,0.005018892368674588,236.6750930203125,43688,0
hybrid_tdvp,64,0,15,1.5,0.007683931968177737,263.49981664982624,43688,0
hybrid_tdvp,64,1,0,0.0,0.0,0.0,0,0
hybrid_tdvp,64,1,1,0.1,1.95493735190011e-05,0.10013747692573816,248,0
hybrid_tdvp,64,1,2,0.2,0.00024154870997195044,0.22840937017463148,2204,0
hybrid_tdvp,64,1,3,0.30000000000000004,0.0003706901020489317,0.4744003197411075,10090,0
hybrid_tdvp,64,1,4,0.4,0.0003728685817609989,1.3268993558594957,20964,0
hybrid_tdvp,64,1,5,0.5,0.0003830777598894386,6.074007917311974,34488,0
hybrid_tdvp,64,1,6,0.6000000000000001,0.000394362607949561,23.866623642970808,43688,0
hybrid_tdvp,64,1,7,0.7000000000000001,0.0004051667021720551,48.19145658495836,43688,0
hybrid_tdvp,64,1,8,0.8,0.000435286055245121,74.69457883574069,43688,0
hybrid_tdvp,64,1,9,0.9,0.0005093094248910246,101.56392458884511,43688,0
hybrid_tdvp,64,1,10,1.0,0.0006975125681375483,130.28603815368842,43688,0
hybrid_tdvp,64,1,11,1.1,0.0011284990184996513,157.72306179231964,43688,0
hybrid_tdvp,64,1,12,1.2000000000000002,0.001914903994546413,185.02121925610118,43688,0
hybrid_tdvp,64,1,13,1.3,0.0031865641109152243,212.90941969573032,43688,0
hybrid_tdvp,64,1,14,1.4000000000000001,0.005018892368674588,240.1516428445466,43688,0
hybrid_tdvp,64,1,15,1.5,0.007683931968177737,266.4099175014999,43688,0
hybrid_tdvp,64,2,0,0.0,0.0,0.0,0,0
hybrid_tdvp,64,2,1,0.1,1.95493735190011e-05,0.10235622012987733,248,0
hybrid_tdvp,64,2,2,0.2,0.00024154870997195044,0.24431527289561927,2204,0
hybrid_tdvp,64,2,3,0.30000000000000004,0.0003706901020489317,0.48910770774818957,10090,0
hybrid_tdvp,64,2,4,0.4,0.0003728685817609989,1.3086397361475974,20964,0
hybrid_tdvp,64,2,5,0.5,0.0003830777598894386,5.805480115697719,34488,0
hybrid_tdvp,64,2,6,0.6000000000000001,0.000394362607949561,23.0279206285486,43688,0
hybrid_tdvp,64,2,7,0.7000000000000001,0.0004051667021720551,48.399554415256716,43688,0
hybrid_tdvp,64,2,8,0.8,0.000435286055245121,74.46441326558124,43688,0
hybrid_tdvp,64,2,9,0.9,0.0005093094248910246,101.31275891826954,43688,0
hybrid_tdvp,64,2,10,1.0,0.0006975125681375483,127.34712930582464,43688,0
hybrid_tdvp,64,2,11,1.1,0.0011284990184996513,153.29320032778196,43688,0
hybrid_tdvp,64,2,12,1.2000000000000002,0.001914903994546413,179.58241007931065,43688,0
hybrid_tdvp,64,2,13,1.3,0.0031865641109152243,205.53055644058622,43688,0
hybrid_tdvp,64,2,14,1.4000000000000001,0.005018892368674588,231.54426696023438,43688,0
hybrid_tdvp,64,2,15,1.5,0.007683931968177737,257.54719686636236,43688,0
mpo_zipup,8,0,0,0.0,0.0,0.0,0,0
mpo_zipup,8,0,1,0.1,0.0006863544982821379,0.048570471233688295,1448,0
mpo_zipup,8,0,2,0.2,0.008653036564279737,0.10332511458545923,1448,0
mpo_zipup,8,0,3,0.30000000000000004,0.0321583376800022,0.15959139785263687,1528,0
mpo_zipup,8,1,0,0.0,0.0,0.0,0,0
mpo_zipup,8,1,1,0.1,0.0006863544982821379,0.0480096178362146,1448,0
mpo_zipup,8,1,2,0.2,0.008653036564279737,0.1010747856926173,1448,0
mpo_zipup,8,1,3,0.30000000000000004,0.0321583376800022,0.15542259474750608,1528,0
mpo_zipup,8,2,0,0.0,0.0,0.0,0,0
mpo_zipup,8,2,1,0.1,0.0006863544982821379,0.05422636808361858,1448,0
mpo_zipup,8,2,2,0.2,0.008653036564279737,0.10713264881633222,1448,0
mpo_zipup,8,2,3,0.30000000000000004,0.0321583376800022,0.16497059573885053,1528,0
mpo_zipup,12,0,0,0.0,0.0,0.0,0,0
mpo_zipup,12,0,1,0.1,5.992186563164026e-06,0.04787208861671388,2856,0
mpo_zipup,12,0,2,0.2,0.0003930703327764684,0.11049242131412029,3048,0
mpo_zipup,12,0,3,0.30000000000000004,0.003478999805021421,0.17468068620655686,3096,0
mpo_zipup,12,0,4,0.4,0.015139303397887827,0.23837183637078851,3096,0
mpo_zipup,12,1,0,0.0,0.0,0.0,0,0
mpo_zipup,12,1,1,0.1,5.992186563164026e-06,0.0595569615252316,2856,0
mpo_zipup,12,1,2,0.2,0.0003930703327764684,0.12202600867021829,3048,0
mpo_zipup,12,1,3,0.30000000000000004,0.003478999805021421,0.18575627263635397,3096,0
mpo_zipup,12,1,4,0.4,0.015139303397887827,0.24926853366196156,3096,0
mpo_zipup,12,2,0,0.0,0.0,0.0,0,0
mpo_zipup,12,2,1,0.1,5.992186563164026e-06,0.049291465198621154,2856,0
mpo_zipup,12,2,2,0.2,0.0003930703327764684,0.11244891444221139,3048,0
mpo_zipup,12,2,3,0.30000000000000004,0.003478999805021421,0.1851613725302741,3096,0
mpo_zipup,12,2,4,0.4,0.015139303397887827,0.25507883669342846,3096,0
mpo_zipup,16,0,0,0.0,0.0,0.0,0,0
mpo_zipup,16,0,1,0.1,-3.304023721284466e-13,0.04845484404359013,4776,0
mpo_zipup,16,0,2,0.2,9.225579870775213e-05,0.12192085396964103,5144,0
mpo_zipup,16,0,3,0.30000000000000004,0.0012393630459590632,0.19535678264219314,5240,0
mpo_zipup,16,0,4,0.4,0.006183232821072693,0.26993286970537156,5240,0
mpo_zipup,16,0,5,0.5,0.01883797993596703,0.3455113054951653,5240,0
mpo_zipup,16,1,0,0.0,0.0,0.0,0,0
mpo_zipup,16,1,1,0.1,-3.304023721284466e-13,0.049258368904702365,4776,0
mpo_zipup,16,1,2,0.2,9.225579870775213e-05,0.12349113391246647,5144,0
