L,J,c,entropy,k,dt,g,n_pasts,n_futures,n_seeds,branch_weight_beta
6,0.5,16,0.005366730171796896,20,0.1,1.0,32,32,1,1.0
6,0.5,17,0.004957395308500416,20,0.1,1.0,32,32,1,1.0
6,0.5,18,0.004127769651339073,20,0.1,1.0,32,32,1,1.0
6,0.5,19,0.003433739542783431,20,0.1,1.0,32,32,1,1.0
6,0.5,20,0.002164660201544577,20,0.1,1.0,32,32,1,1.0
6,1.0,1,1.0810052479794104e-05,20,0.1,1.0,32,32,1,1.0
6,1.0,2,0.008403572229704899,20,0.1,1.0,32,32,1,1.0
6,1.0,3,0.025398733110013318,20,0.1,1.0,32,32,1,1.0
6,1.0,4,0.024753593974416534,20,0.1,1.0,32,32,1,1.0
6,1.0,5,0.05196297533431238,20,0.1,1.0,32,32,1,1.0
6,1.0,6,0.04619159410477165,20,0.1,1.0,32,32,1,1.0
6,1.0,7,0.07322255816657106,20,0.1,1.0,32,32,1,1.0
6,1.0,8,0.07324328982219266,20,0.1,1.0,32,32,1,1.0
6,1.0,9,0.10409482670649393,20,0.1,1.0,32,32,1,1.0
6,1.0,10,0.12816322691128992,20,0.1,1.0,32,32,1,1.0
6,1.0,11,0.11659962810696461,20,0.1,1.0,32,32,1,1.0
6,1.0,12,0.09033875721103793,20,0.1,1.0,32,32,1,1.0
6,1.0,13,0.06938971138810326,20,0.1,1.0,32,32,1,1.0
6,1.0,14,0.07764012670256755,20,0.1,1.0,32,32,1,1.0
6,1.0,15,0.047620550641712125,20,0.1,1.0,32,32,1,1.0
6,1.0,16,0.09419369218025057,20,0.1,1.0,32,32,1,1.0
6,1.0,17,0.09029260820378171,20,0.1,1.0,32,32,1,1.0
6,1.0,18,0.068632964081555,20,0.1,1.0,32,32,1,1.0
6,1.0,19,0.04130589412973894,20,0.1,1.0,32,32,1,1.0
6,1.0,20,0.028637322808474128,20,0.1,1.0,32,32,1,1.0
6,1.5,1,4.378995452118462e-05,20,0.1,1.0,32,32,1,1.0
6,1.5,2,0.0196223217762243,20,0.1,1.0,32,32,1,1.0
6,1.5,3,0.07588585844619977,20,0.1,1.0,32,32,1,1.0
6,1.5,4,0.09121725102852793,20,0.1,1.0,32,32,1,1.0
6,1.5,5,0.10845085376589375,20,0.1,1.0,32,32,1,1.0
6,1.5,6,0.1648491404850171,20,0.1,1.0,32,32,1,1.0
6,1.5,7,0.2860809318136934,20,0.1,1.0,32,32,1,1.0
6,1.5,8,0.2524990222500984,20,0.1,1.0,32,32,1,1.0
6,1.5,9,0.26422048181410934,20,0.1,1.0,32,32,1,1.0
6,1.5,10,0.4364748177114412,20,0.1,1.0,32,32,1,1.0
6,1.5,11,0.3573893286841276,20,0.1,1.0,32,32,1,1.0
