sequence,gate_count,layer,position_in_layer,gate_type,theta,q0,q1,exact_norm,tdvp_norm,tebd_norm,mpo_norm,infidelity_exact_tdvp,infidelity_exact_tebd,infidelity_exact_mpo,infidelity_tdvp_tebd,infidelity_tdvp_mpo,infidelity_tebd_mpo,exact_state_hash,gate_matrix_hash
commuting,17,6,2,rzz,0.05,2,8,1.0000000000000004,0.9999999999995068,0.9999999977883144,1.000000000000019,1.5832002375759657e-11,4.423374111439671e-09,0.0,4.43920700199385e-09,1.5795365015947027e-11,4.423336585901438e-09,230cd5d1dc9246261621265c254413f8396e5d9a41b56a6f36d097cebc9683e5,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,18,6,3,rzz,0.05,3,9,1.0,0.9999999999995095,0.9999999986551078,1.0000000000000187,1.5825785126821756e-11,2.689786837706265e-09,0.0,2.705611956699272e-09,1.57880375439845e-11,2.689748646034218e-09,e9c933bbe8b6fc25ba0e33555ebdc8a15473e8ef339f5b0f978355eddf85bd16,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,19,7,1,rzz,0.05,2,9,1.0000000000000004,0.9999999999995087,0.9999999979764862,1.0000000000000193,1.5827117394451307e-11,4.04703004441842e-09,0.0,4.062856273634452e-09,1.57898139008239e-11,4.046992518880188e-09,1d1018ff65b72d7a9d022dfdde3a390e6ca726b3e13f7891d138bf2a060fdc41,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,20,7,2,rzz,0.05,2,8,1.0,0.9999999999995081,0.9999999976152658,1.000000000000019,1.5830003974315332e-11,4.769472594645663e-09,0.0,4.785300156129324e-09,1.57907020792436e-11,4.769434180929011e-09,d9c58eac27c305016a0e54294bbcde42e9571a1f2c2fd99e92a6aa4a0e141919,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,21,7,3,rzz,0.05,3,9,1.0000000000000004,0.999999999999508,0.9999999965664205,1.00000000000002,1.5828893751290707e-11,6.867163282464617e-09,0.0,6.882990177814463e-09,1.5789147767009126e-11,6.86712420261415e-09,3c358a432a9b934c0bb00da8d6fffc986fa6547dd51a43fd7999fca593b634f8,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,22,8,1,rzz,0.05,2,9,0.9999999999999999,0.9999999999995024,0.9999999965636495,1.0000000000000222,1.584044007074681e-11,6.872705959892755e-09,0.0,6.888543513383638e-09,1.5796253194366727e-11,6.87266199506098e-09,991067aec8d3c7848af9940a117edd7b12ab5e42cb19164854ac00c209a4d0ae,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,23,8,2,rzz,0.05,2,8,1.0000000000000002,0.9999999999995061,0.9999999962796897,1.0000000000000229,1.5832668509574432e-11,7.440625893195829e-09,0.0,7.456455897170144e-09,1.5786483231750026e-11,7.44057992996261e-09,6782d87ecd32b04b100eea46a86d86a0270811105fa75db16fb8d424fa341044,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
commuting,24,8,3,rzz,0.05,3,9,1.0000000000000004,0.9999999999995057,0.9999999963014974,1.0000000000000222,1.5833556687994133e-11,7.397012113941059e-09,0.0,7.4128425620045846e-09,1.5790480034638676e-11,7.396968371153889e-09,067b71d3a8dfde3ccb05327ba20d6b81a38497d33bc8d6abf36916f792852ff2,c5bd595a7eb5e4900bde8732bacdb007a08bbca4966bdcb2dc854f8323013d51
commuting,25,9,1,rzz,0.05,2,9,1.0000000000000007,0.9999999999995093,0.9999999964886848,1.0000000000000218,1.582600717142668e-11,7.022638026654704e-09,0.0,7.038460925201662e-09,1.5783818696490926e-11,7.022595394090558e-09,f9694252c81605e28c080075bcba116a1c36cbec9441c72a94ecf90746dca047,40476707a467b4705373b05fdff89c2d1421387aff9ff078af311c16afb8f886
commuting,26,9,2,rzz,0.05,2,8,1.0000000000000004,0.9999999999995103,0.9999999965960955,1.0000000000000207,1.582467490379713e-11,6.807816976817094e-09,0.0,6.8236396533194466e-09,1.5783818696490926e-11,6.807777230832812e-09,fec1de1dd8070a84452e29acfe4d22921986c534e1e4feaaa87141a6094a8afa,64824f732706baf404290ffe42b3f5c33237b2e2101d68ae706f620c01f5b1d9
