run_kind,build_method,total_time,J,cut,k,L,dt,object_type,valid,entropy,effective_rank,p1,numerical_rank,ipr,r_90,r_99,r_999,chi_1e-2,chi_1e-3,chi_1e-4,n_singular_values
main,exhaustive,0.4,0.8,1,3,6,0.1,process_tensor,True,3.616594957831596e-07,1.0000003616595612,0.9999999807786418,4,1.0000000384427172,1,1,1,3,3,2,4
main,exhaustive,0.4,0.8,1,3,6,0.1,response_centered,True,6.172144496232086e-07,1.00000061721464,0.9999999661861325,3,1.0000000676277374,1,1,1,3,3,2,4
main,exhaustive,0.4,0.8,1,3,6,0.1,response_uncentered,True,1.709174837524221e-07,1.0000001709174984,0.9999999912832312,4,1.0000000174335375,1,1,1,3,3,3,4
main,exhaustive,0.4,0.8,2,3,6,0.1,process_tensor,True,0.00010611933051701678,1.0001061249613723,0.9999916524403452,6,1.000016695259054,1,1,1,63,62,61,64
main,exhaustive,0.4,0.8,2,3,6,0.1,response_centered,True,8.535363161067756e-05,1.0000853572743356,0.9999934150730835,63,1.0000131699409824,1,1,1,63,62,61,64
main,exhaustive,0.4,0.8,2,3,6,0.1,response_uncentered,True,3.97363247069691e-05,1.0000397371142051,0.9999971181139833,64,1.0000057637887256,1,1,1,63,62,61,64
main,exhaustive,0.4,0.8,3,3,6,0.1,process_tensor,True,0.00022945673276586487,1.0002294830599756,0.9999806404021955,4,1.0000387199451992,1,1,1,15,14,14,16
main,exhaustive,0.4,0.8,3,3,6,0.1,response_centered,True,0.00019864369086235772,1.0001986634218267,0.9999834599032706,12,1.000033080740613,1,1,1,11,10,10,12
main,exhaustive,0.4,0.8,3,3,6,0.1,response_uncentered,True,0.00012020947467311238,1.0001202167001215,0.9999904266142292,12,1.0000191469548425,1,1,1,11,10,10,12
main,exhaustive,0.4,1.0,1,3,6,0.1,process_tensor,True,8.063438977751825e-07,1.000000806344223,0.999999955179704,4,1.000000089640596,1,1,1,3,3,2,4
main,exhaustive,0.4,1.0,1,3,6,0.1,response_centered,True,1.4494822150349867e-06,1.0000014494832656,0.9999999165539654,3,1.0000001668920833,1,1,1,3,3,2,4
main,exhaustive,0.4,1.0,1,3,6,0.1,response_uncentered,True,4.0165856412324694e-07,1.0000004016586448,0.9999999785528455,4,1.0000000428943099,1,1,1,3,3,2,4
main,exhaustive,0.4,1.0,2,3,6,0.1,process_tensor,True,0.00023013480772884196,1.0002301612907751,0.9999806279040736,7,1.0000387449456258,1,1,1,63,62,61,64
main,exhaustive,0.4,1.0,2,3,6,0.1,response_centered,True,0.00020233603562120958,1.0002023565069376,0.9999831860377848,63,1.000033628493636,1,1,1,63,62,61,64
main,exhaustive,0.4,1.0,2,3,6,0.1,response_uncentered,True,9.466023665167424e-05,1.0000946647170732,0.9999926390732968,64,1.0000147219624982,1,1,1,63,62,61,64
main,exhaustive,0.4,1.0,3,3,6,0.1,process_tensor,True,0.0004930175980296277,1.0004931391511807,0.9999552379374583,4,1.0000895281323847,1,1,1,15,14,14,16
main,exhaustive,0.4,1.0,3,3,6,0.1,response_centered,True,0.000449506511814569,1.000449607555006,0.9999595617401518,12,1.000080879790244,1,1,1,11,10,10,12
main,exhaustive,0.4,1.0,3,3,6,0.1,response_uncentered,True,0.0002731677827565248,1.0002732050964729,0.9999765760449946,12,1.0000468490073884,1,1,1,11,10,10,12
main,exhaustive,0.4,1.2,1,3,6,0.1,process_tensor,True,1.5235843796118552e-06,1.0000015235855402,0.9999999121455344,4,1.000000175708947,1,1,1,3,3,2,4
main,exhaustive,0.4,1.2,1,3,6,0.1,response_centered,True,2.9237117663416814e-06,1.0000029237160404,0.9999998243700616,3,1.0000003512599396,1,1,1,3,3,2,4
main,exhaustive,0.4,1.2,1,3,6,0.1,response_uncentered,True,8.103058621962196e-07,1.0000008103061906,0.999999955002652,4,1.0000000899947,1,1,1,3,3,2,4
main,exhaustive,0.4,1.2,2,3,6,0.1,process_tensor,True,0.00042350054483194507,1.0004235902338483,0.9999622659193,7,1.0000754710267927,1,1,1,63,62,61,64
main,exhaustive,0.4,1.2,2,3,6,0.1,response_centered,True,0.0004119425449233594,1.0004120274049055,0.9999634301384803,63,1.0000731424198104,1,1,1,63,62,61,64
main,exhaustive,0.4,1.2,2,3,6,0.1,response_uncentered,True,0.00019364610256370667,1.0001936648531806,0.9999839830904618,64,1.0000320343363875,1,1,1,63,62,61,64
main,exhaustive,0.4,1.2,3,3,6,0.1,process_tensor,True,0.0008984013560080064,1.000898805039387,0.9999132157253577,4,1.0001735836123968,1,1,1,15,14,14,16
