Iteration,Noisy_Cross_CRN_Deep
0,0.007434768494460879
1,0.011505303717637442
2,0.015980393608596835
3,0.020182344858359423
4,0.024049103406190833
5,0.027784729855357616
6,0.0315252492691618
7,0.03532147810521113
8,0.039202919245152144
9,0.043207497615913644
10,0.047378835829367506
11,0.05177781000740411
12,0.05650713377645975
13,0.061668421310507815
14,0.06724831898526516
15,0.07303613478104502
16,0.07866022101137116
17,0.0837489821577717
18,0.08810412359975116
19,0.09173471469593307
20,0.094755008883325
21,0.09728268605348177
22,0.09940366594557189
23,0.10117719443605518
24,0.10265047883843181
25,0.10386921232631119
26,0.10488075175605893
27,0.10573206063768847
28,0.10646604382824165
29,0.10711886240477468
30,0.10771877978562781
31,0.10828698950606382
32,0.10883845052396009
33,0.10938448434437241
34,0.1099330883170953
35,0.11049242026642835
36,0.11106907364661399
37,0.11167266074531051
38,0.11231094991388317
39,0.11299622762198676
40,0.11373691314484259
41,0.1145460118730945
42,0.11543022081459549
43,0.11639842607009333
44,0.11745298921359872
45,0.11859154624925404
46,0.11981326185386147
47,0.12109849050454595
48,0.1224537867176236
49,0.12383812812962725
50,0.12528233627803745
51,0.1267122218343781
52,0.1281964850340144
53,0.12960372872985104
54,0.13105715452084063
55,0.13234438265650353
56,0.1336780164020304
57,0.13474871529975793
58,0.13590535476348528
59,0.13672257195887041
60,0.13771690840942977
61,0.13832170705223926
62,0.13922209753131556
63,0.13970027133643945
64,0.14058335505756295
65,0.14102589326622808
66,0.1419482299235162
67,0.14243001230925448
68,0.14342384155869112
69,0.1439976323035557
70,0.1450792012508604
71,0.14577658058927703
72,0.14695386924312204
73,0.1477861783702791
74,0.14905881278750263
75,0.15001571778103887
76,0.15136923475512476
77,0.15241819791131295
78,0.1538206119199075
79,0.1549123919424105
80,0.15631890313989077
81,0.15739985820300484
82,0.15876400803521976
83,0.15978970197539696
84,0.1610741044186356
85,0.16201760138816398
86,0.16319930901075866
87,0.16405217444951947
88,0.16512273174541783
89,0.16589104027573978
90,0.16685357048408725
91,0.1675519591677055
92,0.16841720456198575
93,0.16906310755177276
94,0.1698455959287962
95,0.17045496612451347
96,0.17117001347195018
97,0.17175505876306993
98,0.1724168404419245
99,0.1729855323557646
100,0.17360606261513176
101,0.1741627387365207
102,0.17475147756356102
103,0.1752978661894311
104,0.175861744239875
105,0.17639798723848257
106,0.17694172922587584
107,0.17746722991196429
108,0.17799388607533131
109,0.1785079553040888
110,0.17901953653785072
111,0.17952185652860944
112,0.18001995315839617
113,0.18051087271407049
114,0.18099714573022982
115,0.1814778073089991
116,0.18195427840507017
117,0.18242658025605238
118,0.18289570182083426
119,0.1833621179627678
120,0.18382665725294642
121,0.1842899614466144
122,0.18475276731355147
123,0.18521571995903172
124,0.18567944820027468
125,0.18614450106487093
126,0.18661136011300336
127,0.18708041694756025
128,0.18755197109239974
129,0.18802622196493457
130,0.1885032666463311
131,0.18898309845199948
132,0.18946560798572723
133,0.18995058607438242
134,0.1904377285035691
135,0.19092664253697592
136,0.19141685496055194
137,0.191907821545625
138,0.19239893764140195
139,0.19288954964365157
140,0.19337896699613513
141,0.19386647438171487
142,0.1943513437403587
143,0.19483284577631954
144,0.19531026065473345
145,0.19578288765051186
146,0.19625005358609873
147,0.1967111199744489
148,0.197165488859684
149,0.1976126074131079
150,0.1980519713910981
151,0.19848312759070588
152,0.19890567544883656
153,0.19931926792396648
154,0.19972361177991083
155,0.20011846736460415
156,0.2005036479483401
157,0.200879018660315
158,0.20124449504273778
159,0.20160004123023675
160,0.2019456677588191
161,0.20228142901266452
162,0.20260742032638804
163,0.20292377477297532
164,0.20323065968129625
165,0.20352827293927578
166,0.20381683914871987
167,0.20409660570372368
168,0.20436783886673182
169,0.20463081991417265
170,0.20488584141829624
171,0.20513320372356858
172,0.20537321166583267
173,0.20560617157140357
174,0.20583238856175903
175,0.2060521641786185
176,0.20626579433407008
177,0.20647356758167268
178,0.2066757636971525
179,0.20687265255151302
180,0.2070644932551239
181,0.2072515335484687
182,0.20743400941360216
183,0.20761214487980217
184,0.20778615199706393
185,0.20795623095218155
186,0.20812257030344505
187,0.20828534731184298
188,0.2084447283485794
189,0.20860086936081287
190,0.20875391637963736
191,0.2089040060562842
192,0.2090512662145992
193,0.20919581640946125
194,0.2093377684827428
195,0.20947722710964103
196,0.20961429032978132
197,0.20974905005857392
198,0.20988159257540376
199,0.21001199898611442
200,0.2101403456581039
201,0.21026670462693584
202,0.21039114397398215
203,0.21051372817514938
204,0.21063451842100603
205,0.2107535729090895
206,0.2108709471093134
207,0.21098669400369988
208,0.21110086430173605
209,0.21121350663279115
210,0.2113246677171486
211,0.2114343925171376
212,0.21154272437003183
213,0.21164970510416478
214,0.2117553751398804
215,0.21185977357676586
216,0.21196293826861515
217,0.21206490588747903
218,0.2121657119780842
219,0.21226539100385236
220,0.21236397638563956
221,0.21246150053421195
222,0.21255799487745322
