Iteration,batch_step5.0,batch_step10.0,hybrid_step5.0,hybrid_step10.0
0,0.007434768494460879,0.007434768494460879,0.007434768494460879,0.007434768494460879
1,0.00943732339565811,0.011505303717637442,0.009512992551798086,0.011792157481221886
2,0.011655622870785672,0.01602368374251609,0.011798387264265667,0.016517506124592057
3,0.013969295214550278,0.020301320137439544,0.014167083126837019,0.02105242640121303
4,0.01627233006200215,0.024271981930557514,0.016522679269451182,0.025421896254044774
5,0.018504335429235953,0.028150484527199926,0.018818190795546978,0.029799336341737374
6,0.02065301868853066,0.0320792855112167,0.02104984566227508,0.03427407013038202
7,0.022736855657028206,0.036113625944048496,0.023237749355448766,0.03888610012199029
8,0.024784932801981057,0.040293586130702136,0.02540804304517105,0.04371183241909344
9,0.026823632282104336,0.04467207800440882,0.027582345659570795,0.04887353553799819
10,0.028871279129820227,0.04931268842553562,0.029774115207152212,0.05453223640089683
11,0.0309381786250373,0.05432415380484142,0.031989792903727755,0.06084258424555004
12,0.033029329320224406,0.05987353730076204,0.03423262470508958,0.06776028942202227
13,0.03514793606666047,0.06604515863681998,0.036506938281894656,0.07488356490959436
14,0.03729836650755499,0.07263875507018809,0.03882066594555698,0.08158686682992279
15,0.03948750697556017,0.07913594284688276,0.04118519629736629,0.08736316947779543
16,0.041724297755466676,0.0849556091892304,0.04354714022974599,0.09190093949580125
17,0.044018523521475166,0.08980752109676826,0.04594637461346766,0.09527173858631878
18,0.046380535140690994,0.0937502577228354,0.0484007534364797,0.09776176544564387
19,0.04882261202021702,0.09696538702039827,0.05092986691580001,0.09897457340686668
20,0.05136081805222553,0.09959497582360959,0.05355590122699574,0.09765047492251118
21,0.054015091291229424,0.1017275221644497,0.05630115640107102,0.08880740329475512
22,0.0568059438033372,0.10343198519714326,0.05918233328967252,0.07244850964817749
23,0.05974800944694406,0.10478399181903897,0.062203522593619685,0.0726825097091544
24,0.06284235663335334,0.1058735948597797,0.06535044596751596,0.07616067862705878
25,0.06607012603175227,0.10677235585744911,0.06858802158358734,0.07881823968289635
26,0.06938978436660716,0.10758452174072398,0.07186232706420219,0.07842735935032617
27,0.0727394547357577,0.10825054688224954,0.07510688080772222,0.07274756790961086
28,0.076044509396394,0.10897999260276918,0.07825208142673142,0.07357655486168448
29,0.07922904713896066,0.10881728682304383,0.08123576676596268,0.07646053467316603
30,0.08222837858723926,0.107236989689518,0.08401221910308727,0.0768982493153028
