Iteration,depth_4,depth_8,depth_12,depth_16
0,0.0034797836720789283,0.004780664047355038,0.008354635206129942,0.006574908122910195
1,0.008769339801036367,0.01848366307991172,0.02513093924149276,0.02305710165086472
2,0.017672900427900394,0.03869005517919669,0.014150852067160272,0.005831266044883095
3,0.02967360166623934,0.05612208578379948,0.0022441946407488465,0.0382695328133465
4,0.04413277046106787,0.013844092950156046,0.03524672071714465,0.011338468184588588
5,0.05486576340866665,0.0015410610566642107,0.009713651746650018,0.021620460871431563
6,0.06284928487414511,0.02399541661782682,0.044851323384085706,0.006976018232873885
7,0.06991613188761764,0.034730510450972224,0.01210363970313188,0.03577928909967488
8,0.0762700960219146,0.007918038489274101,0.057083330472325784,0.0032159959606108263
9,0.0821686589357886,0.044970459522239534,0.005735658206413497,0.04449858174984984
10,0.08505967707048334,0.040672638952389435,0.04312557420854669,0.003277229579601791
11,0.06082553748835013,0.012756863840862534,0.03370044496597151,0.01976995711026348
12,0.009923524910360616,0.06968696380788278,0.017724738981305166,0.07464388710851456
13,0.07872570576845585,0.021136461415314504,0.060890918049372106,0.004638652930523351
14,0.06935404961083767,0.037159426857695126,0.0009971528231157763,0.04512679573760314
15,0.0467184991568188,0.003974574444529718,0.01716819553687387,0.04667669209778473
16,0.06952810371587287,0.03216200192546889,0.04872756735799792,0.005232196463708637
17,0.05156597218796615,0.11119294105676274,0.011115795197902567,0.03951944544709222
18,0.0678299041459584,0.0051654938085045074,0.036894477143360443,0.03125062787669158
19,0.05349866100719512,0.044677519109051836,0.004571694946532894,0.0057059292260793065
20,0.07751139235632849,0.08152180712855342,0.051454208899407404,0.048933354845867263
21,0.029520545961895277,0.0017285780515421646,0.010797824924046155,0.03241615268408074
22,0.11745615560049777,0.012931770255414015,0.020475406774741352,0.013563070062608496
23,0.032921922169389,0.07287584930594919,0.031128529337763115,0.005944416291830949
24,0.130737817185376,0.11534320382162519,0.061417733457021305,0.021967140546918163
25,0.034220745571687736,0.04973787251339978,0.015316512709913693,0.0004546647552978897
26,0.15129016612013887,0.04686232757128935,0.036931415857665136,0.007210215202863767
27,0.07211094958100522,0.011521610794383994,0.021474456463108194,0.04612036048119833
28,0.02162442255001206,0.1103889241523032,0.06254751886674186,0.005246152064228488
29,0.16270329100774034,0.018211170383706368,0.017224417539472518,0.10181652057757758
30,0.1229556411929881,0.12115153222949179,0.092776817877533,0.003146889522779665
31,0.040384983779886516,0.03361597428231917,0.0029899591588262117,0.06095769599617898
32,0.15439331522067334,0.032882903301593575,0.02006710503239443,0.017579581951601034
33,0.08967181087591496,0.09770956115986212,0.07180950827467499,0.04248621683595025
34,0.03410923193639769,0.010361555992328682,0.08711445561982584,0.0029075690319155184
35,0.17843711813285093,0.06365599413305242,0.01615818097899411,0.03803442957461228
36,0.12642577558748708,0.00047846839729964025,0.08255301661369215,0.04236190993939814
37,0.03754784487888283,0.008314150606867835,0.024315452814297582,1.2606233349340157e-05
38,0.152390575326574,0.13165762444171888,0.005214544224411785,0.00014634874937590264
39,0.011881862116310447,0.012132611607091276,0.07535235510734035,0.0016603813569499833
40,0.13584059620957672,0.07042576788534663,0.05803768908076521,0.013566153061366925
41,0.009184669998535401,0.11182831010307395,0.0031658940334075743,0.044108335902309656
42,0.11078902996457475,0.022111608302193504,0.019269683564037843,0.04112141317218395
43,0.021696966895755395,0.15261838454845603,0.07269983381796229,0.004549934772909338
44,0.17931893823796768,0.026144288572648222,0.09832463968243797,0.043449715980105906
