Iteration,Layerwise_CRN
0,0.0037938028690820114
1,0.006900225794044206
2,0.010687834972542882
3,0.014168518766202223
4,0.01800369386649818
5,0.02317918388873734
6,0.03027315657172984
7,0.041071464944382526
8,0.056566612658299854
9,0.06913102043772648
10,0.07379311615161042
11,0.06214800862651209
12,0.008370885443641915
13,0.05374126299332577
14,0.02785921738369322
15,0.06013521760535112
16,0.02989872665528438
17,0.04999660045563851
18,0.03444614946115112
19,0.04188833291631747
20,0.027209039751624347
21,0.029856015232296293
22,0.05409862717702455
23,0.015902482724580266
24,0.07211416440215888
25,0.05401475262847718
26,0.023917499674704523
27,0.07224542755440261
28,0.03317982453277086
29,0.030754052677712234
30,0.04591265079452799
31,0.021187783172424535
32,0.08026579842997225
33,0.07270629893459486
34,0.037105535120712956
35,0.04408532555406738
36,0.048976054040635895
37,0.04024585928353626
38,0.06274786908806775
39,0.04490791338231548
40,0.06120964728784537
41,0.04908554244750826
42,0.06125545558743963
43,0.053737740647257594
44,0.061157399517860735
45,0.05713716495681581
46,0.06224668591074162
47,0.05946737058871826
48,0.06279449990016363
49,0.060338215879835115
50,0.061743821929979265
51,0.059804812305873166
52,0.060680424622480245
53,0.060690095544077116
54,0.06314005413984079
55,0.06421476211638522
56,0.0673171755885965
57,0.06908646630175343
58,0.0710224755284531
59,0.0734645672111777
60,0.07432597900499238
61,0.07688291509199001
62,0.07754327220911388
63,0.07971281273428762
64,0.08046938331778014
65,0.08208988482517947
66,0.08282906435857
67,0.08389893044627145
68,0.08429330254856195
69,0.08446823048522538
70,0.08349214706437424
71,0.08117067875733334
72,0.07723273396278067
73,0.07265664561649636
74,0.07217183823478496
75,0.07108773747267666
76,0.07424209201564096
77,0.07431626132787651
78,0.0770460290602833
79,0.07753211072352299
80,0.07984459228797036
81,0.08044679411662393
82,0.0823869831495825
83,0.08300352944057611
84,0.08466400274572979
85,0.08527022599664587
86,0.08672747368113755
87,0.08731881166703319
88,0.088626271504472
89,0.0891995649280969
90,0.09039009053306236
91,0.09093643709202091
92,0.0920235094411939
93,0.09252183197563713
94,0.09349489654157776
95,0.09389909927405012
96,0.09470488668111114
97,0.0949119991954998
98,0.0954012870425357
99,0.09517854939640573
100,0.09501093646662334
101,0.09398311677979455
102,0.0928734682047944
103,0.09143013496896674
104,0.09049943333904038
105,0.09061283722479035
106,0.09070148894809073
107,0.09232474384673706
108,0.09266867040568816
109,0.09465036507176823
110,0.09510443206512283
111,0.09693986463280913
112,0.09746801428715528
113,0.09905501418340586
114,0.09957704385884747
115,0.10090233040454309
116,0.101346397420421
117,0.10238817781955493
118,0.10278897518178733
119,0.10356980196870931
120,0.10412883929287954
121,0.10473955054765216
122,0.10565449516907954
123,0.1061454503362137
124,0.10737880505289737
125,0.10772012799538273
126,0.1091031044484697
127,0.10928258522006921
128,0.11071302964753249
129,0.11078165254173705
130,0.112235849507883
131,0.11227339869369611
132,0.11374395491717045
133,0.11382154062561363
134,0.11529144697807565
135,0.11546120090421279
136,0.11690935815752707
137,0.11720814678418996
138,0.11861757552799086
139,0.11907029225240312
140,0.12043092758674186
141,0.12105080005648328
142,0.12235964919767588
143,0.12314760018949107
144,0.12440815259256575
145,0.12535271914878252
146,0.12657373370515554
147,0.1276520863429069
148,0.12884570232566625
149,0.13002571956346215
150,0.13120507947602178
151,0.05201439248019541
152,0.05506159172893165
153,0.04427604736844515
154,0.04049007638951581
155,0.043821830313488935
156,0.03592388966407464
157,0.048334777579693365
158,0.023432322303715433
159,0.1181285266104141
160,0.057656650969681
161,0.007075727064502896
162,0.043918706821854746
163,0.13584313494855943
164,0.002690263982036787
165,0.040715918915235606
166,0.015106680300842836
167,0.171079020899172
168,0.007903224910686376
169,0.03851655287669614
170,0.10574416535328908
171,0.02180824743203727
172,0.0831102561567209
173,0.0014326600392511688
174,0.011637483489494399
175,0.040139654431396915
176,0.06743336732892426
177,0.013242030066100632
178,0.12987111090274303
179,0.03837651919975802
180,0.025434526229811055
181,0.09421305914937095
182,0.028733442170066088
183,0.13768967347053257
184,0.005078018385418511
185,0.04111179242155841
186,0.14564088501763262
187,0.007998761396766738
188,0.14403175192576365
189,0.009340715094530267
190,0.032301711272428375
191,0.07538577314850066
192,0.11938212053781667
193,0.08266087039895113
194,0.0054923372852293305
195,0.031732255927592996
196,0.12750304213449037
197,0.15732617985390715
198,0.010043265345396317
199,0.08976603484627273
200,0.18092841709564836
201,0.08262756510518282
202,0.020728001862287095
203,0.14630388350777432
204,0.002310391690185505
205,0.010405110639725323
206,0.055150822085569755
207,0.16764347013568345
208,0.024881027506619923
209,0.10698392602303937
210,0.028459874394890367
211,0.1620294950646038
212,0.04535887000855312
213,0.08317297385464949
214,0.0028810288566584433
215,0.01758395078559488
216,0.17082034402201032
217,0.026682904980055683
218,0.2507444583283515
219,0.051619202936568076
220,0.16480974118158168
221,0.04122614959911174
222,0.12684692839615677
223,0.14010254036909398
224,0.0037850582139624025
225,0.040367729793308715
226,0.22871797516248363
227,0.06627025634977006
228,0.14600247750817255
229,0.05985623634893985
230,0.25161407211985226
231,0.006000225551105437
232,0.08429075202896101
233,0.13293026135421807
234,0.00230769681721201
235,0.01922497948711265
236,0.14688578163286972
237,0.14239607773257226
238,0.042736589410891895
239,0.23155801498539938
240,0.1015669514052742
241,0.18329668311412728
242,0.03813087916811308
243,0.2952475053805338
244,0.10674808933561238
245,0.2345535905716293
246,0.04926244387925601
247,0.3430922248435985
248,0.2141645507917943
249,0.043177136062692335
250,0.3204751977080502
251,0.0745807225913183
252,0.2629477832290101
253,0.004156819937872205
254,0.039105254780660716
255,0.24760161409028947
256,0.22967614526774263
257,0.08897911528810117
258,0.2429679986502801
259,0.002800617765925769
260,0.04464332193312659
261,0.3412416662655735
262,0.24935673588671356
263,0.13385313902201068
264,0.2122311823363472
265,0.08329243451228409
266,0.32736925479910434
267,0.0770463138735098
268,0.32155018753590864
269,0.06517550804474566
270,0.34956365380408744
271,0.09524986644350934
272,0.28082982806642537
273,0.06301438474392845
274,0.3900402351754306
275,0.3750422009137581
276,0.2516677806395065
277,0.15256842692083694
278,0.2661082653217329
279,0.16657020781011925
280,0.26359334641291765
281,0.21402630936497813
282,0.22490376008145282
283,0.23749753852888367
284,0.18049905750911643
285,0.26081758269468525
286,0.15184721890553401
287,0.29326983453505656
288,0.15036084365779648
289,0.29714563662865756
290,0.16844730809450123
291,0.27096390759313566
292,0.17285053406262488
293,0.248838820611992
294,0.1939768331288646
295,0.23179482499397963
296,0.24187023459177015
297,0.23416223953518514
298,0.2650961308657567
299,0.2643578195792133
300,0.2633814152084157
301,0.29335434555908035
302,0.09603594251313402
303,0.12521973570949946
304,0.11347960612503755
305,0.10172127902509244
306,0.09620152002845313
307,0.10756500463366575
308,0.09966448754984836
309,0.1135142574339434
310,0.11528909700999207
311,0.10972623747309947
312,0.13067386221762028
313,0.08430587731852353
314,0.09072903783016197
315,0.08236223129265147
316,0.10956128842982989
317,0.09287648378983433
318,0.09867164724618564
319,0.0973893640511491
320,0.10022912489474116
321,0.09812506448537751
322,0.10789972970089594
323,0.10022079259446774
324,0.11470675646266881
325,0.08934003321180906
326,0.12270528637640714
327,0.04766176402863493
328,0.22795781258362183
329,0.11830565866856058
330,0.07232255955048777
331,0.20204585065780525
332,0.17525806140487712
333,0.027539170570181817
334,0.15755403633968848
335,0.1991994466788026
336,0.0748165682346749
337,0.24106496145159287
338,0.08691883325003824
339,0.19971122014477502
340,0.04112060828091635
341,0.26261305288395903
342,0.16737670111126546
343,0.1300553622932231
344,0.12066858725052354
345,0.19728918175372012
346,0.08550399598747817
347,0.2678058346181644
348,0.11781179375050622
349,0.14612574534426725
350,0.10177960462408524
351,0.24579362009207695
352,0.05856930179062234
353,0.31159048849946064
354,0.2146486106170502
355,0.041586732219631384
356,0.2839125914050109
357,0.17969064888608574
358,0.132146795315394
359,0.26580499677141745
360,0.09650619355960695
361,0.28153288263976656
362,0.11093782102355927
363,0.26846233463681607
364,0.1505575084226708
365,0.19288347329370045
366,0.1575038151003559
367,0.13626878388340366
368,0.2505750553854274
369,0.09838859055857595
370,0.35480854970653364
371,0.21788891683867329
372,0.10100080152780193
373,0.36190293314066047
374,0.3222202356044584
375,0.17492470793721168
376,0.266195993342312
377,0.1552335997580332
378,0.3200946770257089
379,0.1881596512872966
380,0.2617405685690221
381,0.2052343231759591
382,0.25863908148591674
383,0.2135732317781902
384,0.2853118971726108
385,0.1939987027853
386,0.3279971072973308
387,0.20626093559042633
388,0.3095813439967373
389,0.21036998659096087
390,0.31440434986818827
391,0.23042309720846008
392,0.28900186124479976
393,0.25070325947965766
394,0.279549380775681
395,0.2722038174404893
396,0.28209742420189654
397,0.2852146219312039
398,0.29182545173655117
399,0.289116377450856
400,0.2968506908361163
401,0.2949921361678591
402,0.29484345062195993
403,0.29332085626362536
404,0.2789784936517029
405,0.28802576785003947
406,0.2805032795393874
407,0.3033544086270266
408,0.2836686008741097
409,0.31548782343279863
410,0.2977604823635653
411,0.3242098005067116
412,0.31097264412626596
413,0.32744765675342796
414,0.3173223769391425
415,0.3281762019256023
416,0.331201235198285
417,0.3422682529515301
418,0.35140655014913585
419,0.3611246260609224
420,0.3615044090558354
421,0.36425418607448506
422,0.3496212858997918
423,0.3493033684538485
424,0.34018958605796534
425,0.35243431525052676
426,0.347807842575484
427,0.36815216013788715
428,0.35754233199709745
429,0.3827073428828502
430,0.36825051960979743
431,0.3927542234211036
432,0.3781937434099933
433,0.39908941203281967
434,0.3879885977129831
435,0.40389901469513995
436,0.39872938557097437
437,0.40975006080853876
438,0.410267436275747
439,0.41753072356281257
440,0.4212304826180069
441,0.4257083150427228
442,0.4301894863679097
443,0.43244008508504034
444,0.4365714246025914
445,0.43739617615757437
446,0.4411293215659433
447,0.4418269288518057
448,0.44558590427529693
449,0.4472181943485341
450,0.4512446117180848
451,0.4539445063802983
452,0.4581397933317366
453,0.17967096286790255
454,0.18743719069941808
455,0.18769846419855918
456,0.19112393817117282
457,0.18923290627965186
458,0.19492886076994256
459,0.19565337378991074
460,0.2096168361457945
461,0.2285844435130389
462,0.27109407663071233
463,0.2986902409317603
464,0.2561928005941898
465,0.17893301057684077
466,0.21731287859258608
467,0.19200405684094546
468,0.18943485061791424
469,0.2240240324873004
470,0.11710426251905108
471,0.2656808685031095
472,0.028837120206650812
473,0.15649210122542376
474,0.39768791326483494
475,0.13653013134762068
476,0.1313899613138562
477,0.32911597628143047
478,0.01985126796126108
479,0.1081754491678651
480,0.3582339720861913
481,0.21647210281583798
482,0.007566292372691658
483,0.03797438020182683
484,0.2803653311558493
485,0.32051533065765786
486,0.09695413721515349
487,0.4639967683233204
488,0.18524425999826374
489,0.23817736585263158
490,0.2616840298061955
491,0.2988633972353744
492,0.28639150110111794
493,0.14214450563405537
494,0.4523826408385194
495,0.054871389030766354
496,0.4322068422849325
497,0.07326745833172182
498,0.5143167109761064
499,0.2628910603170025
500,0.24589684431399164
501,0.29306953141674935
502,0.12057063607757253
503,0.5140550979413168
504,0.133926625211368
505,0.45446412979185674
506,0.09082660990483667
507,0.5892119401940102
508,0.559244492421319
509,0.3204258692347821
510,0.1734212570520766
511,0.5649652555184667
512,0.29975419391370567
513,0.17447117965079384
514,0.55224935090066
515,0.3249988833890171
516,0.23286140564215838
517,0.4626264698540011
518,0.20179429022372886
519,0.46273332609140966
520,0.09046771868473776
521,0.6108281926862906
522,0.5306707188458125
523,0.2200261760170438
524,0.4426369920359549
525,0.15866404684480298
526,0.5864613581440626
527,0.4648087145964293
528,0.26755643362266407
529,0.4257761453339637
530,0.3004968154223699
531,0.38962799142438725
532,0.38829510538746864
533,0.3584060962421331
534,0.48254264489533877
535,0.39659818882229336
536,0.45939720439535847
537,0.3729749873029866
538,0.40903200866133366
539,0.29621455237399635
540,0.4202324759481415
541,0.3142334331345536
542,0.444452938460456
543,0.3928488185923227
544,0.44567034203235734
545,0.4534265478365984
546,0.47607754225741283
547,0.48410879320724787
548,0.4995671089834202
549,0.4954446990300088
550,0.49833619420062814
551,0.4849141794900005
552,0.4789704926194185
553,0.47225643022662317
554,0.47319636678354793
555,0.4815097093344245
556,0.48720022893821574
557,0.5008909535894542
558,0.507872725804523
559,0.5203921289508681
560,0.5268512251525115
561,0.5382115468805041
562,0.5430709698323909
563,0.5532644126124971
564,0.5572649766382809
565,0.5655536223944945
566,0.5699272349475847
567,0.5758306175885285
568,0.5811842924210562
569,0.5850340248680429
570,0.591351953693897
571,0.5941756658004437
572,0.6012191300928148
573,0.6041638339060348
574,0.6116216110089043
575,0.6153483484143817
576,0.6227968636070538
577,0.627304214593606
578,0.6342658943802651
579,0.6391482470737867
580,0.6452457088079695
581,0.65002615507502
582,0.6550752593939372
583,0.6593910434855993
584,0.6633907730386195
585,0.6670421874719737
586,0.6701132603358717
587,0.6730468581792103
588,0.6753654833225676
589,0.6776340624711016
590,0.6793805222803108
591,0.6810969188370489
592,0.682425418782549
593,0.6837199065182373
594,0.6847489023683108
595,0.6857395173629793
596,0.6865560104011675
597,0.6873364737927049
598,0.6880053895801678
599,0.6886460787996135
600,0.6892174980202173
601,0.6897701631157062
602,0.6902819311232745
603,0.6907828117894801
