Iteration,State_42,State_101,State_2024,State_777,State_999
0,0.0027328663750639144,0.011856810423234063,0.009945475484715364,0.00019764240591708317,0.006260845067094879
1,0.010492529935905603,0.0366575433299172,0.03471010129690362,0.0012915907123662467,0.02240224559665376
2,0.02493138613248797,0.03134154543812132,0.05054562561570709,0.0058226057168812495,0.03891742207303641
3,0.04310307222758225,0.016277150312266838,0.009827403747773739,0.0122099965075563,0.04005392630697762
4,0.04470781757639019,0.047607431054814936,0.05805952416420518,0.0176768785664765,0.004848577376574203
5,0.0015268332936356258,0.027053267438411566,0.034027159491095804,0.02592370339149238,0.03050389086495651
6,0.03204559225863854,0.024136552954046032,0.006567076776024214,0.04238137777645415,0.059525367035586516
7,0.003650527906084938,0.03438153055866775,0.036483987494618175,0.06646839219282809,0.013034412500006037
8,0.05548538395653115,0.0064979909354146185,0.07003577450049224,0.014418329046451203,0.04225383815025764
9,0.009114200396381144,0.07956755814188243,0.05364875712066899,0.03737625122163837,0.013592884980141754
10,0.07580823484405294,0.03149716888158751,0.014736371425727455,0.00466093478833886,0.045308387686118216
11,0.02534041824282981,0.03720172288098456,0.0655247422588928,0.0408534586516786,0.014043187382784237
12,0.0006211174748711728,0.040108965779690135,0.022448897063724098,0.0328238164468473,0.007749546136375869
13,0.020387712361056052,0.01736870005000977,0.004669626688553945,0.010490138819274393,0.09980524226476344
14,0.010988261996507266,0.053492777743515164,0.048801822529239244,0.044889799141246925,0.02325951084704279
15,0.06279610296459481,0.01008731942499919,0.06736733839559457,0.018281574395591183,0.018116280237607904
16,0.013654773957456342,0.061694382241126285,0.007271289290650967,0.06246151542531329,0.09578406296686726
17,0.03909712941048355,0.014724643534404407,0.06800978592585945,0.0007666013817389752,0.004025233541900645
18,0.02527559820778215,0.08298688322169387,0.05078647108933724,0.019048263319440244,0.03771429156452907
19,0.016971380648705705,0.07527809002048233,0.03412892680371655,0.03580253498001712,0.07718692247352188
20,0.06465806913160982,0.0058706332936432825,0.03200583848100072,0.008304550702945517,0.0007271376975886435
21,0.019244559751577506,0.05378703913426588,0.06681018725207273,0.05945939756285188,0.017173044149934598
22,0.05253599450327393,0.08051203370556019,0.0058187353165853,0.08271164039932502,0.016122343150614518
23,0.027581251133292933,0.00048473140730734146,0.06501013931660825,0.01903532369292265,0.02969920573390326
